        4.1053	-2.5037
        4.1053	-1.4914
        4.1053	-0.4761
        4.1053	0.5402
        4.1053	1.5566
        4.1053	2.5719
        4.1253	3.5852
        4.3246	4.3371
        4.9354	4.7196
        5.7534	4.5344
        6.5524	3.9256
        7.4015	3.1796
        7.9062	2.4647
        8.2697	1.6847
        8.3938	0.6354
        8.3057	-0.4200
        7.9002	-1.3372
        7.2824	-2.2544
        6.2661	-3.0434
        6.465       -3.213
        6.311       -3.179
        6.181       -3.177
        6.052       -3.199
         5.93       -3.243
        5.814       -3.312
        5.712       -3.401
        5.629       -3.508
        5.568       -3.629
         5.53       -3.758
        5.518       -3.893
        5.518       -4.106
        5.518       -4.356
        5.518       -4.606
        5.253       -3.982
        5.207       -3.903
        5.149       -3.835
        5.078       -3.779
        4.997       -3.738
        4.911       -3.714
        4.821       -3.706
        4.731       -3.716
        4.645       -3.743
        4.167       -3.909
        4.245       -3.747
        4.311       -3.611
        4.368       -3.495
        4.406       -3.402
        4.436        -3.34
        4.467       -3.277
        4.515       -2.995
        4.506       -2.936
         4.44       -2.778
        4.325       -2.649
        4.174       -2.565
        4.003       -2.536
        3.958       -2.536

