 Time_points  t_bar
           9           4
 Time  Density
  -1.0000000000000000E-002   1.0000000000000000E-008
   0.0000000000000000        1.0000000000000000E-008
   1100.0000000000000        1.0000000000000000E-008
   1150.0000000000000        4.0000000000000001E-002
   1200.0000000000000        7.0000000000000007E-002
   1300.0000000000000        8.9999999999999997E-002
   1400.0000000000000        9.8000000000000004E-002
   1600.0000000000000       0.10000000000000001     
   5000.0000000000000       0.10000000000000001     
