  ktime t_bar
  9     0.003
  time [S], zeff_a    zeff_b 
  -0.01      1.         1.
  0.e-5      1.         1.
  1100.e-3   1.         1.
  1850.e-3   3.         3.
  2950.e-3   4.         4.
  3.5        2.018      2.018
  12.0       1.95       1.95
  50.0       1.86       1.86
  1000.      1.86       1.86
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
  ktime 
 5
  time [S], zeff_a		zeff_b 
  -0.01     2.0179		2.0179
  3.5	    2.0179		2.0179
  12.0	    1.95		1.95
  50.0	    1.86		1.86
  1000.     1.86		1.86






