 48
    0.00000E+00    0.41154E+04
    0.14193E-01    0.41154E+04
    0.42578E-01    0.40904E+04
    0.70963E-01    0.40402E+04
    0.99348E-01    0.39649E+04
    0.12773E+00    0.38646E+04
    0.15612E+00    0.37396E+04
    0.18450E+00    0.35904E+04
    0.21289E+00    0.34175E+04
    0.24127E+00    0.32218E+04
    0.26966E+00    0.30040E+04
    0.29804E+00    0.27642E+04
    0.32643E+00    0.25013E+04
    0.35482E+00    0.22505E+04
    0.38320E+00    0.20362E+04
    0.41159E+00    0.18484E+04
    0.43997E+00    0.16806E+04
    0.46836E+00    0.15290E+04
    0.49674E+00    0.13923E+04
    0.52513E+00    0.12697E+04
    0.55351E+00    0.11607E+04
    0.58190E+00    0.10642E+04
    0.61028E+00    0.97887E+03
    0.63725E+00    0.90675E+03
    0.66287E+00    0.84534E+03
    0.68720E+00    0.79267E+03
    0.71032E+00    0.74718E+03
    0.73229E+00    0.70763E+03
    0.75315E+00    0.67299E+03
    0.77297E+00    0.64246E+03
    0.79181E+00    0.61535E+03
    0.80970E+00    0.59110E+03
    0.82669E+00    0.56925E+03
    0.84284E+00    0.54940E+03
    0.85818E+00    0.53124E+03
    0.87275E+00    0.51448E+03
    0.88659E+00    0.49888E+03
    0.89974E+00    0.48423E+03
    0.91223E+00    0.47035E+03
    0.92410E+00    0.45707E+03
    0.93538E+00    0.44422E+03
    0.94609E+00    0.43166E+03
    0.95626E+00    0.41921E+03
    0.96593E+00    0.40669E+03
    0.97511E+00    0.39390E+03
    0.98384E+00    0.38056E+03
    0.99213E+00    0.36636E+03
    0.10000E+01    0.35116E+03
