 r[cm]   z[cm]   Ne[19]
  300. -600.  0.
  300. -595.3125  0.
  300. -590.625  0.
  300. -585.9375  0.
  300. -581.25  0.
  300. -576.5625  0.
  300. -571.875  0.
  300. -567.1875  0.
  300. -562.5  0.
  300. -557.8125  0.
  300. -553.125  0.
  300. -548.4375  0.
  300. -543.75  0.
  300. -539.0625  0.
  300. -534.375  0.
  300. -529.6875  0.
  300. -525.  0.
  300. -520.3125  0.
  300. -515.625  0.
  300. -510.9375  0.
  300. -506.25  0.
  300. -501.5625  0.
  300. -496.875  0.
  300. -492.1875  0.
  300. -487.5  0.
  300. -482.8125  0.
  300. -478.125  0.
  300. -473.4375  0.
  300. -468.75  0.
  300. -464.0625  0.
  300. -459.375  0.
  300. -454.6875  0.
  300. -450.  0.
  300. -445.3125  0.
  300. -440.625  0.
  300. -435.9375  0.
  300. -431.25  0.
  300. -426.5625  0.
  300. -421.875  0.
  300. -417.1875  0.
  300. -412.5  0.
  300. -407.8125  0.
  300. -403.125  0.
  300. -398.4375  0.
  300. -393.75  0.
  300. -389.0625  0.
  300. -384.375  0.
  300. -379.6875  0.
  300. -375.  0.
  300. -370.3125  0.
  300. -365.625  0.
  300. -360.9375  0.
  300. -356.25  0.
  300. -351.5625  0.
  300. -346.875  0.
  300. -342.1875  0.
  300. -337.5  0.
  300. -332.8125  0.
  300. -328.125  0.
  300. -323.4375  0.
  300. -318.75  0.
  300. -314.0625  0.
  300. -309.375  0.
  300. -304.6875  0.
  300. -300.  0.
  300. -295.3125  0.
  300. -290.625  0.
  300. -285.9375  0.
  300. -281.25  0.
  300. -276.5625  0.
  300. -271.875  0.
  300. -267.1875  0.
  300. -262.5  0.
  300. -257.8125  0.
  300. -253.125  0.
  300. -248.4375  0.
  300. -243.75  0.
  300. -239.0625  0.
  300. -234.375  0.
  300. -229.6875  0.
  300. -225.  0.
  300. -220.3125  0.
  300. -215.625  0.
  300. -210.9375  0.
  300. -206.25  0.
  300. -201.5625  0.
  300. -196.875  0.
  300. -192.1875  0.
  300. -187.5  0.
  300. -182.8125  0.
  300. -178.125  0.
  300. -173.4375  0.
  300. -168.75  0.
  300. -164.0625  0.
  300. -159.375  0.
  300. -154.6875  0.
  300. -150.  0.
  300. -145.3125  0.
  300. -140.625  0.
  300. -135.9375  0.
  300. -131.25  0.
  300. -126.5625  0.
  300. -121.875  0.
  300. -117.1875  0.
  300. -112.5  0.
  300. -107.8125  0.
  300. -103.125  0.
  300. -98.4375  0.
  300. -93.75  0.
  300. -89.0625  0.
  300. -84.375  0.
  300. -79.6875  0.
  300. -75.  0.
  300. -70.3125  0.
  300. -65.625  0.
  300. -60.9375  0.
  300. -56.25  0.
  300. -51.5625  0.
  300. -46.875  0.
  300. -42.1875  0.
