          50
   0.000000000000000E+000   7.524053143503554E-004   5.241554727168978E-001
   7.307319888373387E-004   7.524053143503554E-004   5.241554727168978E-001
   2.922927955349355E-003   7.290392034085482E-004   5.607681001464080E-001
   6.576587899536048E-003   6.947371345644119E-004   6.168585161262745E-001
   1.169171182139742E-002   6.545556840023802E-004   6.881199012402315E-001
   1.826829972093347E-002   6.131762707638053E-004   7.695103478488519E-001
   2.630635159814419E-002   5.736703973743425E-004   8.555064224372645E-001
   3.580586745302959E-002   5.373533199701840E-004   9.429927415098935E-001
   4.676684728558966E-002   5.047800132863424E-004        1.029446950708632
   5.918929109582444E-002   4.759542280553215E-004        1.113010639786853
   7.307319888373388E-002   4.506560754068451E-004        1.192249583482699
   8.841857064931799E-002   4.285437585151631E-004        1.266051840883309
   1.052254063925768E-001   4.092194482778041E-004        1.333531849523674
   1.234937061135103E-001   3.923563667319745E-004        1.393971569895601
   1.432234698121184E-001   3.776314597176795E-004        1.446762056222098
   1.644146974884013E-001   3.647908768421814E-004        1.491377461002323
   1.870673891423587E-001   3.536184185754629E-004        1.527375701461675
   2.111815447739909E-001   3.439387721840401E-004        1.554381821791778
   2.367571643832978E-001   3.356106183993367E-004        1.572091426228894
   2.637942479702793E-001   3.285202242435338E-004        1.580266226529343
   2.922927955349355E-001   3.226102642438919E-004        1.578427519316076
   3.222528070772664E-001   3.179885563741333E-004        1.565085487035125
   3.536742825972720E-001   3.143558277531156E-004        1.542266981677021
   3.865572220949522E-001   3.116948036287858E-004        1.509784081762661
   4.191496956270696E-001   3.100714829679440E-004        1.469904920018228
   4.513342425934936E-001   3.093414330189277E-004        1.424180006073378
   4.830121438541946E-001   3.093873014636167E-004        1.373960110714932
   5.141012299843057E-001   3.101029471198351E-004        1.320402533268318
   5.445339214469430E-001   3.114619312160922E-004        1.264108591632819
   5.742554771606745E-001   3.133742452626933E-004        1.206063271911383
   6.032224302775834E-001   3.157296800974076E-004        1.147155719369926
   6.314011920965966E-001   3.184927719743656E-004        1.087710402706195
   6.587668069377089E-001   3.216251725596579E-004        1.027888336174608
   6.853018425162929E-001   3.250893719800561E-004   9.677112395475547E-001
   7.109954019012210E-001   3.288598429138328E-004   9.070792086215167E-001
   7.358422445326120E-001   3.329258488830970E-004   8.457862931104692E-001
   7.598420050296112E-001   3.372782290721017E-004   7.835462114008371E-001
   7.829984996492131E-001   3.419030766854904E-004   7.200337029036352E-001
   8.053191112759112E-001   3.468062056892661E-004   6.549414684094608E-001
   8.268142447398881E-001   3.520104410408591E-004   5.879190994896971E-001
   8.474968450884650E-001   3.851079446669418E-004   5.372775436013189E-001
   8.673819721805265E-001   4.182054482930246E-004   4.866359877129405E-001
   8.864864256447095E-001   4.513029519191074E-004   4.359944318245623E-001
   9.048284148465520E-001   4.844004555451901E-004   3.853528759361841E-001
   9.224272690541115E-001   5.174979591712727E-004   3.347113200478058E-001
   9.393031834816857E-001   4.139983673370182E-004   2.677690560382446E-001
   9.554769973325606E-001   3.104987755027637E-004   2.008267920286835E-001
   9.709700003589650E-001   2.069991836685091E-004   1.338845280191223E-001
   9.858037648149852E-001   1.034995918342545E-004   6.694226400956112E-002
        1.000000000000000   0.000000000000000E+000   0.000000000000000E+000
   
