 time [msec], PF_current [kA]
   4.6100000e+03   9.7200000e+03  -1.2600000e+03   5.4000000e+02  -2.0000000e+01  -1.3600000e+03   9.2700000e+03   1.7930000e+04   1.6460000e+04   1.4530000e+04   1.4530000e+04   1.6760000e+04   1.6610000e+04
   7.8200000e+03   9.8300000e+03  -1.8300000e+03   5.6000000e+02  -7.4000000e+02  -1.5900000e+03   1.0060000e+04   1.7510000e+04   1.4700000e+04   1.1200000e+04   1.1200000e+04   1.5270000e+04   1.4990000e+04
   1.1380000e+04   9.9400000e+03  -2.1866000e+03   4.7349000e+02  -1.4100000e+03  -1.7800000e+03   1.0840000e+04   1.7080000e+04   1.2940000e+04   8.2500000e+03   8.2500000e+03   1.3780000e+04   1.3370000e+04
   1.2520576e+04   9.9808494e+03  -2.2438425e+03   3.5319237e+02  -1.5346759e+03  -1.9517059e+03   1.1076463e+04   1.6948568e+04   1.2405947e+04   7.5104345e+03   7.5104345e+03   1.3341134e+04   1.2856344e+04
   1.3771189e+04   1.0041961e+04  -2.3097349e+03   2.3014810e+02  -1.6453060e+03  -2.1207382e+03   1.1341581e+04   1.6819327e+04   1.1849721e+04   6.7252873e+03   6.7252873e+03   1.2876627e+04   1.2318734e+04
   1.5020374e+04   1.0090162e+04  -2.3476373e+03   1.1116390e+02  -1.7686654e+03  -2.2980816e+03   1.1608696e+04   1.6687093e+04   1.1288653e+04   5.9232167e+03   5.9232167e+03   1.2413077e+04   1.1784548e+04
   1.6270171e+04   1.0139802e+04  -2.3503285e+03  -6.1885424e+01  -1.7910814e+03  -2.5200972e+03   1.1854933e+04   1.6569383e+04   1.0787575e+04   5.2769125e+03   5.2769125e+03   1.1997869e+04   1.1310323e+04
   1.7520281e+04   1.0184018e+04  -2.3457089e+03  -2.4946785e+02  -1.7917393e+03  -2.7548920e+03   1.2091504e+04   1.6451006e+04   1.0293675e+04   4.6478302e+03   4.6478302e+03   1.1588468e+04   1.0847548e+04
   1.8770244e+04   1.0222946e+04  -2.3311249e+03  -4.3133352e+02  -1.8030729e+03  -2.9936403e+03   1.2329046e+04   1.6333171e+04   9.7965469e+03   4.0080350e+03   4.0080350e+03   1.1178559e+04   1.0383798e+04
   2.0020151e+04   1.0263524e+04  -2.3348214e+03  -6.0150806e+02  -1.8092884e+03  -3.2288725e+03   1.2555976e+04   1.6224521e+04   9.3263816e+03   3.4228875e+03   3.4228875e+03   1.0791653e+04   9.9409920e+03
   2.1269705e+04   1.0298485e+04  -2.3523319e+03  -7.5588637e+02  -1.8140550e+03  -3.4647741e+03   1.2769122e+04   1.6120247e+04   8.8736789e+03   2.8758826e+03   2.8758826e+03   1.0420966e+04   9.5188708e+03
   2.2519785e+04   1.0328430e+04  -2.3593750e+03  -9.1210870e+02  -1.8224137e+03  -3.6999479e+03   1.2983550e+04   1.6012902e+04   8.4140676e+03   2.3062214e+03   2.3062214e+03   1.0044093e+04   9.0946338e+03
   2.3769288e+04   1.0361081e+04  -2.3760216e+03  -1.0659150e+03  -1.8259166e+03  -3.9335048e+03   1.3199724e+04   1.5907293e+04   7.9567435e+03   1.7436017e+03   1.7436017e+03   9.6668999e+03   8.6715631e+03
   2.5019276e+04   1.0389618e+04  -2.3161298e+03  -1.2661286e+03  -1.8397238e+03  -4.1164892e+03   1.3403855e+04   1.5809279e+04   7.5403100e+03   1.2365061e+03   1.2365061e+03   9.3208980e+03   8.2853727e+03
   2.6269016e+04   1.0409692e+04  -2.2152328e+03  -1.4766434e+03  -1.8574137e+03  -4.2828967e+03   1.3605274e+04   1.5715675e+04   7.1421301e+03   7.8483622e+02   7.8483622e+02   8.9957150e+03   7.9121370e+03
   2.7518709e+04   1.0435404e+04  -2.1326282e+03  -1.6745038e+03  -1.8614476e+03  -4.4437730e+03   1.3808478e+04   1.5624164e+04   6.7589241e+03   3.8010619e+02   3.8010619e+02   8.6854032e+03   7.5481427e+03
   2.8769238e+04   1.0471454e+04  -2.0387130e+03  -1.8670935e+03  -1.8601802e+03  -4.6116505e+03   1.4020224e+04   1.5543427e+04   6.3807009e+03   1.1783957e+01   1.1783957e+01   8.3962277e+03   7.1755252e+03
   3.0019262e+04   1.0420168e+04  -2.0101757e+03  -1.9716597e+03  -1.8885000e+03  -4.7345633e+03   1.4176311e+04   1.5373268e+04   6.0408803e+03  -3.5468716e+02  -3.5468716e+02   8.0392074e+03   6.9690709e+03
   3.1269760e+04   1.0285272e+04  -2.0406410e+03  -2.0216579e+03  -1.9565297e+03  -4.8148733e+03   1.4272911e+04   1.5116081e+04   5.7122689e+03  -8.1875937e+02  -8.1875937e+02   7.5852673e+03   6.8981139e+03
