 npl time [msec]
 19718  28400.4966
 rpl   zpl  tokpl
  428.90625  121.875  0.779378587
  428.90625  126.5625  0.825661776
  428.90625  131.25  0.8361138
  428.90625  135.9375  0.842230498
  428.90625  140.625  0.845239351
  428.90625  145.3125  0.846199122
  428.90625  150.  0.845938769
  428.90625  154.6875  0.845097273
  428.90625  159.375  0.844163608
  428.90625  164.0625  0.843439606
  428.90625  168.75  0.843137097
  428.90625  173.4375  0.84332103
  428.90625  178.125  0.843925108
  428.90625  182.8125  0.844791667
  428.90625  187.5  0.845660581
  428.90625  192.1875  0.846194194
  428.90625  196.875  0.845927662
  428.90625  201.5625  0.844326753
  428.90625  206.25  0.840773561
  428.90625  210.9375  0.834519073
  428.90625  215.625  0.823150149
  428.90625  220.3125  0.783263454
  428.90625  225.  0.736960119
  428.90625  229.6875  0.684076261
  428.90625  234.375  0.624620857
  428.90625  239.0625  0.558799537
  428.90625  243.75  0.487197078
  428.90625  248.4375  0.411508172
  428.90625  253.125  0.332931135
  428.90625  257.8125  0.253869944
  428.90625  262.5  0.176390385
  428.90625  267.1875  0.102225337
  428.90625  271.875  0.0618437657
  428.90625  276.5625  0.0450346726
  428.90625  281.25  0.0359246401
  428.90625  285.9375  0.0338457476
  428.90625  290.625  0.0379628948
  428.90625  295.3125  0.0471767239
  428.90625  300.  0.0601681352
  428.90625  304.6875  0.0753896568
  428.90625  309.375  0.0910185157
  428.90625  314.0625  0.104688732
  428.90625  318.75  0.113898809
  428.90625  323.4375  0.115668411
  428.90625  328.125  0.106323414
  428.90625  332.8125  0.0819541104
  431.25  14.0625  0.084341591
  431.25  18.75  0.116034385
  431.25  23.4375  0.120392365
  431.25  28.125  0.106955214
  431.25  32.8125  0.0847980936
  431.25  37.5  0.0618322666
  431.25  42.1875  0.0449715518
  431.25  46.875  0.0403092675
  431.25  51.5625  0.0526787464
  431.25  56.25  0.0909687683
  431.25  60.9375  0.214244917
  431.25  65.625  0.34791803
  431.25  70.3125  0.481758445
  431.25  75.  0.607482436
  431.25  79.6875  0.719185795
  431.25  84.375  0.812731983
  431.25  89.0625  0.838122447
  431.25  93.75  0.842324423
  431.25  98.4375  0.835596243
  431.25  103.125  0.821221676
  431.25  107.8125  0.80183715
  431.25  112.5  0.779538085
  431.25  117.1875  0.755985589
  431.25  121.875  0.732400552
  431.25  126.5625  0.70976505
  431.25  131.25  0.688775486
  431.25  135.9375  0.669978825
  431.25  140.625  0.653688552
  431.25  145.3125  0.64225163
  431.25  150.  0.63368199
  431.25  154.6875  0.627621168
  431.25  159.375  0.624137386
  431.25  164.0625  0.623277814
  431.25  168.75  0.624925654
  431.25  173.4375  0.629039758
  431.25  178.125  0.635631158
  431.25  182.8125  0.644295494
  431.25  187.5  0.655885133
  431.25  192.1875  0.671303303
  431.25  196.875  0.688731642
  431.25  201.5625  0.707672896
  431.25  206.25  0.727700138
  431.25  210.9375  0.748270929
  431.25  215.625  0.768761458
  431.25  220.3125  0.788434406
  431.25  225.  0.80651099
  431.25  229.6875  0.822089216
  431.25  234.375  0.834048335
  431.25  239.0625  0.841183699
  431.25  243.75  0.841869889
  431.25  248.4375  0.834407591
  431.25  253.125  0.805973053
  431.25  257.8125  0.733032651
  431.25  262.5  0.649308015
  431.25  267.1875  0.556588008
  431.25  271.875  0.45712264
  431.25  276.5625  0.354746973
  431.25  281.25  0.25258018
  431.25  285.9375  0.154956201
  431.25  290.625  0.0763829731
  431.25  295.3125  0.0531098353
  431.25  300.  0.0417626104
  431.25  304.6875  0.0407224807
  431.25  309.375  0.0481647307
  431.25  314.0625  0.0618308738
  431.25  318.75  0.0791736072
  431.25  323.4375  0.097275551
  431.25  328.125  0.112602116
  431.25  332.8125  0.120950901
  431.25  337.5  0.117465439
  431.25  342.1875  0.0967075132
  433.59375  0.  0.118871716
  433.59375  4.6875  0.125960238
  433.59375  9.375  0.111663253
  433.59375  14.0625  0.0871990523
  433.59375  18.75  0.0627754833
  433.59375  23.4375  0.0477017646
  433.59375  28.125  0.0505484836
  433.59375  32.8125  0.0784784052
  433.59375  37.5  0.199608165
  433.59375  42.1875  0.357008735
  433.59375  46.875  0.517303609
  433.59375  51.5625  0.666473512
  433.59375  56.25  0.793625304
  433.59375  60.9375  0.83596681
  433.59375  65.625  0.83609454
  433.59375  70.3125  0.817368331
  433.59375  75.  0.785306051
  433.59375  79.6875  0.744411587
  433.59375  84.375  0.698394072
  433.59375  89.0625  0.650164135
  433.59375  93.75  0.61023746
  433.59375  98.4375  0.571402946
  433.59375  103.125  0.534325108
  433.59375  107.8125  0.499573389
  433.59375  112.5  0.467576162
  433.59375  117.1875  0.43862624
  433.59375  121.875  0.412896385
  433.59375  126.5625  0.390446541
  433.59375  131.25  0.371247991
  433.59375  135.9375  0.35530562
  433.59375  140.625  0.3426017
  433.59375  145.3125  0.333051566
  433.59375  150.  0.326631793
  433.59375  154.6875  0.323245962
  433.59375  159.375  0.322833298
  433.59375  164.0625  0.325415334
  433.59375  168.75  0.330864189
