 n_t
 1
 PF(i),i=1,npf
  3.5804966E+003  2.0401798E+004  1.9250789E+004  1.7538904E+004  1.9487474E+004  1.7657065E+004  4.4347468E+003  8.6108503E+002 -2.5387123E+002  2.9680084E+001 -1.1669059E+002  6.2538403E+003  2.9760532E+000  5.5006912E+000  8.1908717E-015  6.1784358E+000
  3.5904966E+003  2.0398948E+004  1.9249539E+004  1.7522007E+004  1.9486657E+004  1.7650150E+004  4.4357250E+003  8.5903789E+002 -2.5381939E+002  2.8012377E+001 -1.1898875E+002  6.2541487E+003  3.0268842E+000  5.4719324E+000  8.1463565E-015  6.2225119E+000
  3.6004966E+003  2.0396083E+004  1.9248313E+004  1.7505104E+004  1.9485734E+004  1.7643333E+004  4.4367414E+003  8.5699228E+002 -2.5374560E+002  2.6391711E+001 -1.2126754E+002  6.2544862E+003  3.3785692E+000  5.6147928E+000  8.4124030E-015  6.2818084E+000
  3.6104966E+003  2.0393144E+004  1.9247191E+004  1.7488209E+004  1.9484672E+004  1.7636620E+004  4.4377952E+003  8.5495548E+002 -2.5365198E+002  2.4808507E+001 -1.2353443E+002  6.2548546E+003  3.7736964E+000  5.7195353E+000  8.5651692E-015  6.3359182E+000
  3.6204966E+003  2.0390186E+004  1.9246128E+004  1.7471334E+004  1.9483528E+004  1.7629958E+004  4.4388817E+003  8.5294189E+002 -2.5353652E+002  2.3250896E+001 -1.2579996E+002  6.2552575E+003  4.2984104E+000  5.9133502E+000  8.8895622E-015  6.4131195E+000
  3.6304966E+003  2.0387170E+004  1.9245162E+004  1.7454485E+004  1.9482284E+004  1.7623359E+004  4.4399969E+003  8.5096060E+002 -2.5340089E+002  2.1707429E+001 -1.2807261E+002  6.2556974E+003  4.8649426E+000  5.9874231E+000  8.9716463E-015  6.4775165E+000
  3.6404966E+003  2.0384107E+004  1.9244246E+004  1.7437716E+004  1.9481025E+004  1.7616794E+004  4.4411171E+003  8.4900604E+002 -2.5325762E+002  2.0173402E+001 -1.3035338E+002  6.2561891E+003  5.2839122E+000  6.0919059E+000  9.1412994E-015  6.5718976E+000
  3.6504966E+003  2.0380958E+004  1.9243420E+004  1.7421058E+004  1.9479759E+004  1.7610276E+004  4.4422341E+003  8.4706555E+002 -2.5312441E+002  1.8645310E+001 -1.3264021E+002  6.2567376E+003  5.2860496E+000  5.8887690E+000  8.7426589E-015  6.6249590E+000
  3.6604966E+003  2.0377744E+004  1.9242667E+004  1.7404548E+004  1.9478534E+004  1.7603783E+004  4.4433445E+003  8.4511351E+002 -2.5302311E+002  1.7126554E+001 -1.3492337E+002  6.2573442E+003  5.2118675E+000  5.7721145E+000  8.5811735E-015  6.7032764E+000
  3.6704966E+003  2.0374440E+004  1.9242014E+004  1.7388218E+004  1.9477364E+004  1.7597322E+004  4.4444448E+003  8.4311867E+002 -2.5297836E+002  1.5621319E+001 -1.3719109E+002  6.2580088E+003  5.2723334E+000  5.6591126E+000  8.4046113E-015  6.7520439E+000
