 48
    0.00000E+00    0.98351E+00
    0.14193E-01    0.98351E+00
    0.42578E-01    0.98363E+00
    0.70963E-01    0.98416E+00
    0.99348E-01    0.98644E+00
    0.12773E+00    0.98795E+00
    0.15612E+00    0.98873E+00
    0.18450E+00    0.98915E+00
    0.21289E+00    0.99011E+00
    0.24127E+00    0.99245E+00
    0.26966E+00    0.99527E+00
    0.29804E+00    0.99556E+00
    0.32643E+00    0.99506E+00
    0.35482E+00    0.99470E+00
    0.38320E+00    0.99474E+00
    0.41159E+00    0.99521E+00
    0.43997E+00    0.99804E+00
    0.46836E+00    0.10073E+01
    0.49674E+00    0.10287E+01
    0.52513E+00    0.10666E+01
    0.55351E+00    0.11220E+01
    0.58190E+00    0.11919E+01
    0.61028E+00    0.12720E+01
    0.63725E+00    0.13574E+01
    0.66287E+00    0.14445E+01
    0.68720E+00    0.15327E+01
    0.71032E+00    0.16218E+01
    0.73229E+00    0.17120E+01
    0.75315E+00    0.18030E+01
    0.77297E+00    0.18948E+01
    0.79181E+00    0.19876E+01
    0.80970E+00    0.20812E+01
    0.82669E+00    0.21757E+01
    0.84284E+00    0.22713E+01
    0.85818E+00    0.23680E+01
    0.87275E+00    0.24659E+01
    0.88659E+00    0.25655E+01
    0.89974E+00    0.26667E+01
    0.91223E+00    0.27701E+01
    0.92410E+00    0.28761E+01
    0.93538E+00    0.29854E+01
    0.94609E+00    0.30984E+01
    0.95626E+00    0.32161E+01
    0.96593E+00    0.33396E+01
    0.97511E+00    0.34718E+01
    0.98384E+00    0.36156E+01
    0.99213E+00    0.37932E+01
    0.10000E+01    0.40388E+01
