  ktime
 9999
  time [S], rpp
  3.50000017  593.774314 1
  3.50100017  593.771544 2
  3.50200017  593.769114 3
  3.50300017  593.771887 4
  3.50420017  593.766604 5
  3.50564017  593.772453 6
  3.50736817  593.764972 7
  3.50944177  593.761389 8
  3.51193009  593.756012 9
  3.51491607  593.749931 10
  3.51849925  593.742547 11
  3.52279907  593.138094 12
  3.52795886  593.09543 13
  3.53415059  593.070533 14
  3.54158068  593.024284 15
  3.55049679  592.968502 16
  3.56049679  592.929575 17
  3.57049679  592.920222 18
  3.58049679  592.951744 19
  3.59049679  592.94238 20
  3.60049679  592.943062 21
  3.61049679  592.915161 22
  3.62049679  593.252365 23
  3.63049679  593.451666 24
  3.64049679  593.737488 25
  3.65049679  594.06055 26
  3.66049679  594.482977 27
  3.67049679  594.811391 28
  3.68049679  595.136961 29
  3.69049679  595.480578 30
  3.70049679  595.783469 31
  3.7104968  596.160151 32
  3.7204968  596.382895 33
  3.7304968  596.699997 34
  3.7404968  596.918248 35
  3.7504968  597.183605 36
  3.7604968  597.372712 37
  3.7704968  597.544405 38
  3.7804968  597.75622 39
  3.7904968  597.921693 40
  3.8004968  598.042993 41
  3.8104968  598.274796 42
  3.8204968  598.355033 43
  3.8304968  598.570821 44
  3.8404968  598.579884 45
  3.8504968  598.747836 46
  3.8604968  598.915172 47
  3.8704968  598.964871 48
  3.8804968  599.0129 49
  3.8904968  599.108788 50
  3.9004968  599.219094 51
  3.9104968  599.227779 52
  3.9204968  599.224238 53
  3.93049681  599.28714 54
  3.94049681  599.261436 55
  3.95049681  599.233414 56
  3.96049681  599.2077 57
  3.97049681  599.188614 58
  3.98049681  599.132192 59
  3.99049681  599.048959 60
  4.00049681  598.989562 61
  4.01049681  598.874063 62
  4.02049681  598.799814 63
  4.03049681  598.722491 64
  4.04049681  598.640599 65
  4.05049681  598.458241 66
  4.06049681  598.436303 67
  4.07049681  598.35057 68
  4.08049681  598.195004 69
  4.09049681  598.059616 70
  4.10049681  598.019042 71
  4.11049681  597.857686 72
  4.12049681  597.808848 73
  4.13049681  597.713074 74
  4.14049682  597.581395 75
  4.15049682  597.4431 76
  4.16049682  597.415419 77
  4.17049682  597.281768 78
  4.18049682  597.250175 79
  4.19049682  597.203829 80
  4.20049682  597.132237 81
  4.21049682  597.044229 82
  4.22049682  596.993797 83
  4.23049682  596.899804 84
  4.24049682  596.923513 85
  4.25049682  596.878482 86
  4.26049682  596.894982 87
  4.27049682  596.879994 88
  4.28049682  596.878398 89
  4.29049682  596.879782 90
  4.30049682  596.90026 91
  4.31049682  596.913113 92
  4.32049682  596.963578 93
  4.33049682  596.99809 94
  4.34049682  597.058003 95
  4.35049683  597.114573 96
  4.36049683  597.196829 97
  4.37049683  597.280268 98
  4.38049683  597.370042 99
  4.39049683  597.479743 100
  4.40049683  597.577547 101
  4.41049683  597.685829 102
  4.42049683  597.738518 103
  4.43049683  597.909487 104
  4.44049683  598.039689 105
  4.45049683  598.178819 106
  4.46049683  598.31619 107
  4.47049683  598.454515 108
  4.48049683  598.603211 109
  4.49049683  598.734285 110
  4.50049683  598.904762 111
  4.51049683  599.056466 112
  4.52049683  599.209223 113
  4.53049683  599.356063 114
  4.54049683  599.505009 115
  4.55049683  599.643583 116
  4.56049684  599.776999 117
  4.57049684  599.908691 118
  4.58049684  600.04186 119
  4.59049684  600.171236 120
  4.60049684  600.293827 121
  4.61049684  600.4121 122
  4.62049684  600.528989 123
  4.63049684  600.635715 124
  4.64049684  600.68177 125
  4.65049684  600.815009 126
  4.66049684  600.927672 127
  4.67049684  601.030474 128
  4.68049684  601.1256 129
  4.69049684  601.207018 130
  4.70049684  601.283742 131
  4.71049684  601.341835 132
  4.72049684  601.422184 133
  4.73049684  601.481414 134
  4.74049684  601.447263 135
  4.75049684  601.556137 136
  4.76049684  601.595042 137
  4.77049685  601.63501 138
  4.78049685  601.663166 139
  4.79049685  601.694619 140
  4.80049685  601.698103 141
  4.81049685  601.704494 142
  4.82049685  601.664792 143
  4.83049685  601.709414 144
  4.84049685  601.668072 145
  4.85049685  601.667151 146
  4.86049685  601.662507 147
  4.87049685  601.647738 148
  4.88049685  601.58671 149
  4.89049685  601.621669 150
  4.90049685  601.596272 151
  4.91049685  601.530729 152
  4.92049685  601.509637 153
  4.93049685  601.484016 154
  4.94049685  601.488788 155
  4.95049685  601.447918 156
  4.96049685  601.411697 157
  4.97049685  601.326244 158
  4.98049686  601.335148 159
  4.99049686  601.262336 160
  5.00049686  601.248866 161
  5.01049686  601.227457 162
  5.02049686  601.179951 163
  5.03049686  601.160752 164
  5.04049686  601.13848 165
  5.05049686  601.149089 166
  5.06049686  601.108278 167
  5.07049686  601.098063 168
  5.08049686  601.092065 169
  5.09049686  601.085902 170
  5.10049686  601.084993 171
  5.11049686  601.086484 172
  5.12049686  601.092132 173
  5.13049686  601.099407 174
  5.14049686  601.138162 175
  5.15049686  601.122557 176
  5.16049686  601.178415 177
  5.17049686  601.204085 178
  5.18049686  601.226459 179
  5.19049687  601.222842 180
  5.20049687  601.294223 181
  5.21049687  601.343667 182
  5.22049687  601.392587 183
  5.23049687  601.383375 184
  5.24049687  601.44884 185
  5.25049687  601.546973 186
  5.26049687  601.588566 187
  5.27049687  601.679798 188
  5.28049687  601.678314 189
  5.29049687  601.766194 190
  5.30049687  601.874464 191
  5.31049687  601.928016 192
  5.32049687  602.005101 193
  5.33049687  602.085591 194
  5.34049687  602.194677 195
  5.35049687  602.254137 196
  5.36049687  602.353191 197
  5.37049687  602.430499 198
  5.38049687  602.520555 199
  5.39049687  602.607947 200
  5.40049688  602.667626 201
  5.41049688  602.772631 202
  5.42049688  602.857727 203
  5.43049688  602.946357 204
  5.44049688  603.030858 205
  5.45049688  603.116434 206
  5.46049688  603.177295 207
  5.47049688  603.216935 208
  5.48049688  603.341796 209
  5.49049688  603.394608 210
  5.50049688  603.496839 211
  5.51049688  603.541442 212
  5.52049688  603.606228 213
  5.53049688  603.690174 214
  5.54049688  603.753564 215
  5.55049688  603.794822 216
  5.56049688  603.853007 217
  5.57049688  603.912259 218
  5.58049688  603.96489 219
  5.59049688  604.037537 220
  5.60049688  604.08913 221
  5.61049689  604.14229 222
  5.62049689  604.200317 223
  5.63049689  604.252208 224
  5.64049689  604.248739 225
  5.65049689  604.335871 226
  5.66049689  604.385271 227
  5.67049689  604.381312 228
  5.68049689  604.458486 229
  5.69049689  604.507389 230
  5.70049689  604.548366 231
  5.71049689  604.587023 232
  5.72049689  604.638259 233
  5.73049689  604.656485 234
  5.74049689  604.687804 235
  5.75049689  604.723561 236
  5.76049689  604.777054 237
  5.77049689  604.789756 238
  5.78049689  604.814018 239
  5.79049689  604.839517 240
  5.80049689  604.894458 241
  5.81049689  604.920273 242
  5.8204969  604.930164 243
  5.8304969  604.935846 244
  5.8404969  604.983991 245
  5.8504969  605.000241 246
  5.8604969  605.023784 247
  5.8704969  605.047492 248
  5.8804969  605.070873 249
  5.8904969  605.09238 250
  5.9004969  605.111985 251
  5.9104969  605.134212 252
  5.9204969  605.193321 253
  5.9304969  605.192733 254
  5.9404969  605.216305 255
  5.9504969  605.2425 256
  5.9604969  605.266601 257
  5.9704969  605.29361 258
  5.9804969  605.347621 259
  5.9904969  605.3545 260
  6.0004969  605.38529 261
  6.0104969  605.414104 262
  6.0204969  605.445824 263
  6.03049691  605.481404 264
  6.04049691  605.517167 265
  6.05049691  605.549805 266
  6.06049691  605.557135 267
  6.07049691  605.612539 268
  6.08049691  605.636843 269
  6.09049691  605.675295 270
  6.10049691  605.738275 271
  6.11049691  605.771544 272
  6.12049691  605.790332 273
  6.13049691  605.819117 274
  6.14049691  605.859489 275
  6.15049691  605.926033 276
  6.16049691  605.974089 277
  6.17049691  605.995035 278
  6.18049691  606.042056 279
  6.19049691  606.088773 280
  6.20049691  606.134871 281
  6.21049691  606.179766 282
  6.22049691  606.23024 283
  6.23049691  606.280088 284
  6.24049692  606.33106 285
  6.25049692  606.382012 286
  6.26049692  606.445895 287
  6.27049692  606.485132 288
  6.28049692  606.568852 289
  6.29049692  606.631766 290
  6.30049692  606.695064 291
  6.31049692  606.735178 292
  6.32049692  606.791586 293
  6.33049692  606.848763 294
  6.34049692  606.907854 295
  6.35049692  606.967806 296
  6.36049692  607.055354 297
  6.37049692  607.10027 298
  6.38049692  607.162016 299
  6.39049692  607.221332 300
  6.40049692  607.307145 301
  6.41049692  607.347495 302
  6.42049692  607.402601 303
  6.43049692  607.460749 304
  6.44049692  607.546095 305
  6.45049693  607.589744 306
  6.46049693  607.618996 307
  6.47049693  607.71742 308
  6.48049693  607.778554 309
  6.49049693  607.811745 310
  6.50049693  607.866043 311
  6.51049693  607.894332 312
  6.52049693  607.993231 313
  6.53049693  608.035629 314
  6.54049693  608.063086 315
  6.55049693  608.156226 316
  6.56049693  608.193377 317
  6.57049693  608.247346 318
  6.58049693  608.32607 319
  6.59049693  608.359936 320
  6.60049693  608.411307 321
  6.61049693  608.435681 322
  6.62049693  608.506007 323
  6.63049693  608.576162 324
  6.64049693  608.631515 325
  6.65049693  608.682543 326
  6.66049694  608.732295 327
  6.67049694  608.782138 328
  6.68049694  608.829859 329
  6.69049694  608.877824 330
  6.70049694  608.926151 331
  6.71049694  609.000757 332
  6.72049694  609.061646 333
  6.73049694  609.099804 334
  6.74049694  609.155958 335
  6.75049694  609.219219 336
  6.76049694  609.248503 337
  6.77049694  609.343315 338
  6.78049694  609.381539 339
  6.79049694  609.435899 340
  6.80049694  609.51256 341
  6.81049694  609.54651 342
  6.82049694  609.59508 343
  6.83049694  609.640123 344
  6.84049694  609.681934 345
  6.85049694  609.726121 346
  6.86049694  609.794891 347
  6.87049695  609.822704 348
  6.88049695  609.864725 349
  6.89049695  609.906429 350
  6.90049695  609.949411 351
  6.91049695  610.019027 352
  6.92049695  610.070385 353
  6.93049695  610.098737 354
  6.94049695  610.143519 355
  6.95049695  610.192893 356
  6.96049695  610.215457 357
  6.97049695  610.27368 358
  6.98049695  610.327755 359
  6.99049695  610.37942 360
  7.00049695  610.428762 361
  7.01049695  610.474947 362
  7.02049695  610.519807 363
  7.03049695  610.563375 364
  7.04049695  610.61038 365
  7.05049695  610.677211 366
  7.06049695  610.702376 367
  7.07049695  610.742191 368
  7.08049696  610.785358 369
  7.09049696  610.852039 370
  7.10049696  610.902071 371
  7.11049696  610.930635 372
  7.12049696  610.976251 373
  7.13049696  611.0411 374
  7.14049696  611.084529 375
  7.15049696  611.103906 376
  7.16049696  611.146424 377
  7.17049696  611.211555 378
  7.18049696  611.24053 379
  7.19049696  611.280323 380
  7.20049696  611.323068 381
  7.21049696  611.370244 382
  7.22049696  611.414765 383
  7.23049696  611.457367 384
  7.24049696  611.506371 385
  7.25049696  611.5806 386
  7.26049696  611.612774 387
  7.27049696  611.658834 388
  7.28049696  611.707688 389
  7.29049697  611.756814 390
  7.30049697  611.801537 391
  7.31049697  611.845904 392
  7.32049697  611.890155 393
  7.33049697  611.938542 394
  7.34049697  612.021242 395
  7.35049697  612.045655 396
  7.36049697  612.08719 397
  7.37049697  612.128223 398
  7.38049697  612.172878 399
  7.39049697  612.243428 400
  7.40049697  612.307201 401
  7.41049697  612.333873 402
  7.42049697  612.379085 403
  7.43049697  612.426134 404
  7.44049697  612.476154 405
  7.45049697  612.548479 406
  7.46049697  612.583381 407
  7.47049697  612.632879 408
  7.48049697  612.682301 409
  7.49049697  612.734049 410
  7.50049698  612.761217 411
  7.51049698  612.82329 412
  7.52049698  612.879618 413
  7.53049698  612.906028 414
  7.54049698  612.971446 415
  7.55049698  613.031298 416
  7.56049698  613.084048 417
  7.57049698  613.134894 418
  7.58049698  613.184322 419
  7.59049698  613.228356 420
  7.60049698  613.274465 421
  7.61049698  613.341315 422
  7.62049698  613.351438 423
  7.63049698  613.404019 424
  7.64049698  613.458143 425
  7.65049698  613.509307 426
  7.66049698  613.556981 427
  7.67049698  613.606798 428
  7.68049698  613.6568 429
  7.69049698  613.707973 430
  7.70049698  613.758807 431
  7.71049698  613.805684 432
  7.72049699  613.86569 433
  7.73049699  613.894297 434
  7.74049699  613.958948 435
  7.75049699  614.0195 436
  7.76049699  614.044725 437
  7.77049699  614.106847 438
  7.78049699  614.148337 439
  7.79049699  614.174417 440
  7.80049699  614.214798 441
  7.81049699  614.274829 442
  7.82049699  614.322074 443
  7.83049699  614.370181 444
  7.84049699  614.397053 445
  7.85049699  614.455336 446
  7.86049699  614.477696 447
  7.87049699  614.514802 448
  7.88049699  614.552348 449
  7.89049699  614.590143 450
  7.90049699  614.627538 451
  7.91049699  614.663194 452
  7.92049699  614.698392 453
  7.930497  614.730967 454
  7.940497  614.764012 455
  7.950497  614.796731 456
  7.960497  614.828169 457
  7.970497  614.860991 458
  7.980497  614.893774 459
  7.990497  614.926555 460
  8.000497  614.961411 461
  8.010497  615.016223 462
  8.020497  615.036962 463
  8.030497  615.072218 464
  8.040497  615.10859 465
  8.050497  615.141937 466
  8.060497  615.190676 467
  8.070497  615.219384 468
  8.080497  615.209221 469
  8.090497  615.262611 470
  8.100497  615.299892 471
  8.110497  615.317062 472
  8.120497  615.346501 473
  8.130497  615.390634 474
  8.14049701  615.41654 475
  8.15049701  615.424886 476
  8.16049701  615.472012 477
  8.17049701  615.504528 478
  8.18049701  615.514523 479
  8.19049701  615.559379 480
  8.20049701  615.567299 481
  8.21049701  615.569494 482
  8.22049701  615.61798 483
  8.23049701  615.633934 484
  8.24049701  615.658569 485
  8.25049701  615.668052 486
  8.26049701  615.709512 487
  8.27049701  615.728465 488
  8.28049701  615.728511 489
  8.29049701  615.748283 490
  8.30049701  615.790074 491
  8.31049701  615.826274 492
  8.32049701  615.829393 493
  8.33049701  615.867051 494
  8.34049701  615.875654 495
  8.35049702  615.903624 496
  8.36049702  615.962426 497
  8.37049702  615.966212 498
  8.38049702  615.992046 499
  8.39049702  616.036432 500
  8.40049702  616.059745 501
  8.41049702  616.04744 502
  8.42049702  616.099256 503
  8.43049702  616.137514 504
  8.44049702  616.155267 505
  8.45049702  616.185585 506
  8.46049702  616.230847 507
  8.47049702  616.258098 508
  8.48049702  616.271621 509
  8.49049702  616.320869 510
  8.50049702  616.336032 511
  8.51049702  616.368351 512
  8.52049702  616.40991 513
  8.53049702  616.451934 514
  8.54049702  616.466349 515
  8.55049702  616.498923 516
  8.56049703  616.533139 517
  8.57049703  616.5659 518
  8.58049703  616.599285 519
  8.59049703  616.634709 520
  8.60049703  616.671379 521
  8.61049703  616.707114 522
  8.62049703  616.759962 523
  8.63049703  616.778598 524
  8.64049703  616.816675 525
  8.65049703  616.853274 526
  8.66049703  616.908143 527
  8.67049703  616.944164 528
  8.68049703  616.955205 529
  8.69049703  616.991671 530
  8.70049703  617.030444 531
  8.71049703  617.068706 532
  8.72049703  617.125223 533
  8.73049703  617.16905 534
  8.74049703  617.15699 535
  8.75049703  617.184774 536
  8.76049703  617.230646 537
  8.77049704  617.27211 538
  8.78049704  617.316264 539
  8.79049704  617.355776 540
  8.80049704  617.408208 541
  8.81049704  617.448779 542
  8.82049704  617.456712 543
  8.83049704  617.491171 544
  8.84049704  617.529079 545
  8.85049704  617.564702 546
  8.86049704  617.626816 547
  8.87049704  617.63193 548
  8.88049704  617.662183 549
  8.89049704  617.723001 550
  8.90049704  617.7589 551
  8.91049704  617.778155 552
  8.92049704  617.830542 553
  8.93049704  617.871245 554
  8.94049704  617.865356 555
  8.95049704  617.898829 556
  8.96049704  617.941345 557
  8.97049704  617.981499 558
  8.98049705  618.019828 559
  8.99049705  618.058322 560
