                    pfind 
  8.84653E+05  4.30701E+05  2.04305E+05  1.12791E+05  8.40583E+04  1.82553E+05
  1.58996E+05  9.66832E+04  1.16099E+05  4.27806E+05  2.03375E+05  1.12610E+05
  6.67558E+04  5.44776E+04  1.69735E+05  1.32445E+05  6.60435E+04  8.60802E+04
  1.58301E+05  1.58624E+05  0.00000E+00  0.00000E+00
                    pfind 
  4.30701E+05  8.85540E+05  4.30131E+05  2.03235E+05  1.36606E+05  1.86032E+05
  1.84383E+05  1.46583E+05  1.59040E+05  2.03558E+05  1.13039E+05  6.75844E+04
  4.28186E+04  3.67777E+04  1.50720E+05  1.08172E+05  4.63886E+04  6.38541E+04
  1.57743E+05  1.58939E+05  0.00000E+00  0.00000E+00
                    pfind 
  2.04305E+05  4.30131E+05  8.87527E+05  4.25798E+05  2.37111E+05  1.79051E+05
  2.02859E+05  2.29185E+05  2.15005E+05  1.13075E+05  6.75485E+04  4.28482E+04
  2.85894E+04  2.57550E+04  1.29444E+05  8.75213E+04  3.35037E+04  4.80920E+04
  1.56863E+05  1.59346E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.12832E+05  2.03174E+05  4.25417E+05  8.85076E+05  4.51690E+05  1.62157E+05
  2.06527E+05  3.57103E+05  2.72510E+05  6.74026E+04  4.27510E+04  2.84119E+04
  1.96960E+04  1.85053E+04  1.07903E+05  7.01237E+04  2.46686E+04  3.65511E+04
  1.56133E+05  1.59620E+05  0.00000E+00  0.00000E+00
                    pfind 
  8.40583E+04  1.36606E+05  2.37111E+05  4.51690E+05  1.19397E+06  1.93801E+05
  2.72449E+05  7.57452E+05  4.39290E+05  5.42429E+04  3.65960E+04  2.56007E+04
  1.85284E+04  1.81813E+04  1.20867E+05  7.61708E+04  2.48229E+04  3.79040E+04
  1.54258E+05  1.62771E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.82553E+05  1.86026E+05  1.79045E+05  1.62153E+05  1.93797E+05  3.49152E+06
  1.29599E+06  2.89947E+05  4.97575E+05  1.69471E+05  1.50139E+05  1.28606E+05
  1.08032E+05  1.20505E+05  1.22515E+06  6.67190E+05  1.75496E+05  2.90003E+05
  1.89030E+05  1.52664E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.58988E+05  1.84377E+05  2.02859E+05  2.06547E+05  2.72469E+05  1.29602E+06
  3.02091E+06  4.27685E+05  7.96815E+05  1.32156E+05  1.07615E+05  8.67817E+04
  6.99874E+04  7.56898E+04  6.63617E+05  3.89028E+05  1.08651E+05  1.76224E+05
  1.80172E+05  1.49046E+05  0.00000E+00  0.00000E+00
                    pfind 
  9.66811E+04  1.46585E+05  2.29185E+05  3.57103E+05  7.57474E+05  2.89927E+05
  4.27665E+05  1.55847E+06  7.85078E+05  6.56779E+04  4.60758E+04  3.32310E+04
  2.46559E+04  2.47552E+04  1.75401E+05  1.08890E+05  3.41948E+04  5.30608E+04
  1.42381E+05  1.75861E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.16101E+05  1.59040E+05  2.15005E+05  2.72510E+05  4.39270E+05  4.97594E+05
  7.96701E+05  7.85078E+05  2.11867E+06  8.49458E+04  6.29642E+04  4.73565E+04
  3.62865E+04  3.75492E+04  2.88388E+05  1.75958E+05  5.27140E+04  8.32415E+04
  1.31282E+05  1.72684E+05  0.00000E+00  0.00000E+00
                    pfind 
  4.27806E+05  2.03558E+05  1.13075E+05  6.73794E+04  5.42429E+04  1.69469E+05
  1.32158E+05  6.56779E+04  8.49478E+04  8.84653E+05  4.30405E+05  2.03476E+05
  1.10942E+05  8.45022E+04  1.82685E+05  1.59048E+05  9.72581E+04  1.17697E+05
  1.58646E+05  1.58275E+05  0.00000E+00  0.00000E+00
                    pfind 
  2.03375E+05  1.13039E+05  6.75950E+04  4.27404E+04  3.65981E+04  1.50137E+05
  1.07615E+05  4.60758E+04  6.29602E+04  4.30405E+05  8.84526E+05  4.28355E+05
  1.98583E+05  1.37333E+05  1.85680E+05  1.83772E+05  1.47286E+05  1.60950E+05
  1.58957E+05  1.57707E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.12648E+05  6.75633E+04  4.28017E+04  2.84119E+04  2.55986E+04  1.28604E+05
  8.67817E+04  3.32247E+04  4.73504E+04  2.03537E+05  4.28440E+05  8.85076E+05
  4.29602E+05  2.38316E+05  1.78129E+05  2.01316E+05  2.29776E+05  2.16729E+05
  1.59359E+05  1.56815E+05  0.00000E+00  0.00000E+00
                    pfind 
  6.66206E+04  4.29496E+04  2.85936E+04  1.96958E+04  1.85273E+04  1.08030E+05
  6.99874E+04  2.46495E+04  3.62865E+04  1.10703E+05  1.98211E+05  4.29602E+05
  8.87823E+05  4.59193E+05  1.62564E+05  2.06467E+05  3.60845E+05  2.76117E+05
  1.59664E+05  1.56080E+05  0.00000E+00  0.00000E+00
                    pfind 
  5.44776E+04  3.67777E+04  2.57550E+04  1.85030E+04  1.81762E+04  1.20499E+05
  7.57278E+04  2.47510E+04  3.75432E+04  8.45043E+04  1.37331E+05  2.38316E+05
  4.59193E+05  1.19139E+06  1.93178E+05  2.70365E+05  7.52528E+05  4.38148E+05
  1.62737E+05  1.54237E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.69739E+05  1.50722E+05  1.29444E+05  1.07909E+05  1.20880E+05  1.22515E+06
  6.63522E+05  1.75413E+05  2.88407E+05  1.82685E+05  1.85674E+05  1.78123E+05
  1.62558E+05  1.93170E+05  3.49152E+06  1.30448E+06  2.90068E+05  5.00350E+05
  1.52678E+05  1.89119E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.32430E+05  1.08168E+05  8.75173E+04  7.01197E+04  7.61868E+04  6.67152E+05
  3.89066E+05  1.08940E+05  1.75956E+05  1.59042E+05  1.83766E+05  2.01316E+05
  2.06487E+05  2.70385E+05  1.30452E+06  3.03783E+06  4.26222E+05  7.97271E+05
  1.48945E+05  1.80419E+05  0.00000E+00  0.00000E+00
                    pfind 
  6.60414E+04  4.63886E+04  3.35016E+04  2.46643E+04  2.48271E+04  1.75490E+05
  1.08671E+05  3.41885E+04  5.27080E+04  9.72560E+04  1.47286E+05  2.29776E+05
  3.60845E+05  7.52528E+05  2.90068E+05  4.26142E+05  1.55946E+06  7.85660E+05
  1.76016E+05  1.42246E+05  0.00000E+00  0.00000E+00
                    pfind 
  8.60842E+04  6.38602E+04  4.80920E+04  3.65631E+04  3.79100E+04  2.90003E+05
  1.76193E+05  5.30588E+04  8.32605E+04  1.17697E+05  1.60950E+05  2.16729E+05
  2.76117E+05  4.38148E+05  5.00369E+05  7.97195E+05  7.85640E+05  2.11848E+06
  1.72087E+05  1.31675E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.58301E+05  1.57743E+05  1.56863E+05  1.56133E+05  1.54258E+05  1.89030E+05
  1.80172E+05  1.42381E+05  1.31282E+05  1.58646E+05  1.58957E+05  1.59359E+05
  1.59664E+05  1.62737E+05  1.52678E+05  1.48945E+05  1.76016E+05  1.72087E+05
  1.64375E+05  1.50164E+05  0.00000E+00  0.00000E+00
                    pfind 
  1.58624E+05  1.58939E+05  1.59346E+05  1.59620E+05  1.62771E+05  1.52664E+05
  1.49046E+05  1.75861E+05  1.72684E+05  1.58275E+05  1.57707E+05  1.56815E+05
  1.56080E+05  1.54237E+05  1.89119E+05  1.80419E+05  1.42246E+05  1.31675E+05
  1.50164E+05  1.64346E+05  0.00000E+00  0.00000E+00
                    pfind 
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  5.72266E+01  0.00000E+00
                    pfind 
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.00000E+00  5.72266E+01
                    pfres 
  2.78890E-02  2.79080E-02  2.79530E-02  2.78980E-02  4.08390E-02  3.81810E-02
  3.67530E-02  3.30920E-02  3.70220E-02  2.78890E-02  2.78860E-02  2.78980E-02
  2.79600E-02  4.08390E-02  3.81810E-02  3.69090E-02  3.30920E-02  3.70220E-02
  1.80621E-03  1.80629E-03  1.00000E+02  1.00000E+02
