 48
  0.000000E+00  1.245868E+00  1.250081E-01  0.000000E+00
  7.096306E-03  1.245868E+00  1.250081E-01           NAN
  2.838522E-02  1.245868E+00  1.244663E-01           NAN
  5.677045E-02  1.246976E+00  1.241540E-01           NAN
  8.515567E-02  1.250412E+00  1.237910E-01           NAN
  1.135409E-01  1.253806E+00  1.231868E-01           NAN
  1.419261E-01  1.259380E+00  1.224353E-01           NAN
  1.703113E-01  1.265508E+00  1.215366E-01           NAN
  1.986966E-01  1.273198E+00  1.203760E-01           NAN
  2.270818E-01  1.282456E+00  1.191383E-01           NAN
  2.554670E-01  1.292683E+00  1.176356E-01           NAN
  2.838522E-01  1.304989E+00  1.159257E-01           NAN
  3.122375E-01  1.318706E+00  1.141124E-01           NAN
  3.406227E-01  1.334146E+00  1.119380E-01           NAN
  3.690079E-01  1.352061E+00  1.096468E-01           NAN
  3.973931E-01  1.371597E+00  1.071371E-01           NAN
  4.257784E-01  1.393953E+00  1.042846E-01           NAN
  4.541636E-01  1.418896E+00  1.013026E-01           NAN
  4.825488E-01  1.446704E+00  9.803762E-02           NAN
  5.109340E-01  1.477983E+00  9.444598E-02           NAN
  5.393193E-01  1.513006E+00  9.067140E-02           NAN
  5.677045E-01  1.552221E+00  8.660032E-02           NAN
  5.960897E-01  1.596302E+00  8.219380E-02           NAN
  6.237653E-01  1.644685E+00  7.780294E-02           NAN
  6.500571E-01  1.695892E+00  7.330441E-02           NAN
  6.750343E-01  1.750512E+00  6.866240E-02           NAN
  6.987627E-01  1.808499E+00  6.427448E-02           NAN
  7.213046E-01  1.869388E+00  5.997937E-02           NAN
  7.427195E-01  1.933767E+00  5.559935E-02           NAN
  7.630636E-01  2.001529E+00  5.132914E-02           NAN
  7.823905E-01  2.072752E+00  4.727290E-02           NAN
  8.007510E-01  2.147529E+00  4.337197E-02           NAN
  8.181936E-01  2.225781E+00  3.949364E-02           NAN
  8.347640E-01  2.308180E+00  3.570739E-02           NAN
  8.505058E-01  2.394758E+00  3.220660E-02           NAN
  8.654606E-01  2.485183E+00  2.882012E-02           NAN
  8.796677E-01  2.580389E+00  2.552790E-02           NAN
  8.931644E-01  2.680983E+00  2.252626E-02           NAN
  9.059862E-01  2.786852E+00  1.976736E-02           NAN
  9.181670E-01  2.898473E+00  1.696831E-02           NAN
  9.297387E-01  3.017821E+00  1.410040E-02           NAN
  9.407319E-01  3.146339E+00  1.158229E-02           NAN
  9.511753E-01  3.284781E+00  9.444439E-03           NAN
  9.610966E-01  3.435899E+00  7.316062E-03           NAN
  9.705219E-01  3.605203E+00  5.134123E-03           NAN
  9.794759E-01  3.800817E+00  3.100921E-03           NAN
  9.879822E-01  4.038543E+00  1.048045E-03           NAN
  9.960631E-01  4.365020E+00 -1.072479E-03           NAN
