 ncam npf
 232 11
  pf_ves mutuals...
  3.1125E+01  7.6281E+01  2.9964E+02  5.7397E+01
  2.4157E+01  5.6902E+01  1.4743E+02  1.9331E+02
  1.9772E+02  1.2642E+02  5.3034E+01
  3.4406E+01  8.4988E+01  2.9500E+02  5.1539E+01
  2.2004E+01  6.1265E+01  1.5436E+02  1.9635E+02
  1.9477E+02  1.2075E+02  4.9575E+01
  3.8102E+01  9.4536E+01  2.8784E+02  4.6331E+01
  2.0081E+01  6.6052E+01  1.6158E+02  1.9919E+02
  1.9163E+02  1.1533E+02  4.6393E+01
  4.2271E+01  1.0487E+02  2.7824E+02  4.1705E+01
  1.8360E+01  7.1319E+01  1.6909E+02  2.0182E+02
  1.8833E+02  1.1016E+02  4.3461E+01
  4.6966E+01  1.1584E+02  2.6638E+02  3.7602E+01
  1.6818E+01  7.7113E+01  1.7687E+02  2.0422E+02
  1.8489E+02  1.0524E+02  4.0760E+01
  5.2246E+01  1.2716E+02  2.5252E+02  3.3967E+01
  1.5437E+01  8.3493E+01  1.8490E+02  2.0637E+02
  1.8132E+02  1.0055E+02  3.8270E+01
  5.8185E+01  1.3846E+02  2.3703E+02  3.0738E+01
  1.4194E+01  9.0539E+01  1.9317E+02  2.0825E+02
  1.7764E+02  9.6088E+01  3.5969E+01
  6.4863E+01  1.4923E+02  2.2035E+02  2.7863E+01
  1.3072E+01  9.8350E+01  2.0169E+02  2.0986E+02
  1.7387E+02  9.1832E+01  3.3835E+01
  7.2328E+01  1.5884E+02  2.0306E+02  2.5305E+01
  1.2059E+01  1.0701E+02  2.1040E+02  2.1118E+02
  1.7002E+02  8.7783E+01  3.1860E+01
  8.0608E+01  1.6664E+02  1.8577E+02  2.3030E+01
  1.1145E+01  1.1661E+02  2.1926E+02  2.1219E+02
  1.6613E+02  8.3939E+01  3.0031E+01
  8.9754E+01  1.7211E+02  1.6890E+02  2.0997E+01
  1.0316E+01  1.2731E+02  2.2824E+02  2.1290E+02
  1.6219E+02  8.0275E+01  2.8331E+01
  9.9721E+01  1.7484E+02  1.5288E+02  1.9179E+01
  9.5635E+00  1.3925E+02  2.3729E+02  2.1329E+02
  1.5823E+02  7.6791E+01  2.6751E+01
  1.1038E+02  1.7463E+02  1.3798E+02  1.7555E+01
  8.8808E+00  1.5258E+02  2.4632E+02  2.1337E+02
  1.5426E+02  7.3485E+01  2.5285E+01
  1.1804E+02  1.7278E+02  1.2843E+02  1.6536E+01
  8.4470E+00  1.6266E+02  2.5249E+02  2.1323E+02
  1.5153E+02  7.1304E+01  2.4335E+01
  1.2364E+02  1.7040E+02  1.2191E+02  1.5866E+01
  8.1634E+00  1.7078E+02  2.5753E+02  2.1354E+02
  1.4989E+02  6.9916E+01  2.3721E+01
  1.3225E+02  1.6441E+02  1.1238E+02  1.4974E+01
  7.8006E+00  1.8624E+02  2.6852E+02  2.1625E+02
  1.4882E+02  6.8437E+01  2.2996E+01
  1.4110E+02  1.5451E+02  1.0254E+02  1.4165E+01
  7.4988E+00  2.0934E+02  2.8692E+02  2.2316E+02
  1.4997E+02  6.7793E+01  2.2510E+01
  1.4673E+02  1.4329E+02  9.4843E+01  1.3666E+01
  7.3551E+00  2.3725E+02  3.1174E+02  2.3457E+02
  1.5409E+02  6.8510E+01  2.2484E+01
  1.4856E+02  1.3226E+02  8.9155E+01  1.3441E+01
  7.3547E+00  2.6942E+02  3.4352E+02  2.5061E+02
  1.6113E+02  7.0525E+01  2.2887E+01
  1.4687E+02  1.2233E+02  8.5207E+01  1.3458E+01
  7.4839E+00  3.0461E+02  3.8285E+02  2.7146E+02
  1.7109E+02  7.3789E+01  2.3692E+01
  1.4259E+02  1.1392E+02  8.2724E+01  1.3683E+01
  7.7287E+00  3.4037E+02  4.2997E+02  2.9710E+02
  1.8387E+02  7.8224E+01  2.4868E+01
  1.3677E+02  1.0707E+02  8.1478E+01  1.4094E+01
  8.0792E+00  3.7325E+02  4.8486E+02  3.2748E+02
  1.9937E+02  8.3778E+01  2.6393E+01
  1.3029E+02  1.0161E+02  8.1238E+01  1.4669E+01
  8.5265E+00  3.9993E+02  5.4751E+02  3.6263E+02
  2.1756E+02  9.0407E+01  2.8246E+01
  1.2377E+02  9.7359E+01  8.1860E+01  1.5398E+01
  9.0662E+00  4.1766E+02  6.1729E+02  4.0244E+02
  2.3840E+02  9.8087E+01  3.0419E+01
  1.1759E+02  9.4108E+01  8.3202E+01  1.6266E+01
  9.6913E+00  4.2546E+02  6.9273E+02  4.4656E+02
  2.6173E+02  1.0675E+02  3.2891E+01
  1.1193E+02  9.1666E+01  8.5137E+01  1.7256E+01
  1.0393E+01  4.2427E+02  7.7122E+02  4.9434E+02
  2.8727E+02  1.1630E+02  3.5631E+01
  1.0681E+02  8.9874E+01  8.7594E+01  1.8365E+01
  1.1169E+01  4.1601E+02  8.4929E+02  5.4522E+02
  3.1486E+02  1.2669E+02  3.8626E+01
  1.0223E+02  8.8599E+01  9.0493E+01  1.9580E+01
  1.2011E+01  4.0292E+02  9.2182E+02  5.9810E+02
  3.4410E+02  1.3778E+02  4.1845E+01
  9.8439E+01  8.7771E+01  9.3477E+01  2.0780E+01
  1.2836E+01  3.8837E+02  9.7889E+02  6.4744E+02
  3.7209E+02  1.4849E+02  4.4971E+01
  9.4651E+01  8.7056E+01  9.6922E+01  2.2159E+01
  1.3782E+01  3.7149E+02  1.0282E+03  7.0157E+02
  4.0365E+02  1.6065E+02  4.8535E+01
  9.0782E+01  8.6093E+01  1.0041E+02  2.3665E+01
  1.4833E+01  3.5435E+02  1.0722E+03  7.6255E+02
  4.3950E+02  1.7438E+02  5.2538E+01
  8.7368E+01  8.4964E+01  1.0329E+02  2.5052E+01
  1.5823E+01  3.3984E+02  1.1057E+03  8.2221E+02
  4.7460E+02  1.8768E+02  5.6378E+01
  8.4114E+01  8.3646E+01  1.0582E+02  2.6424E+01
  1.6826E+01  3.2648E+02  1.1320E+03  8.8522E+02
  5.1165E+02  2.0154E+02  6.0344E+01
  8.1025E+01  8.2213E+01  1.0807E+02  2.7784E+01
  1.7844E+01  3.1400E+02  1.1495E+03  9.5117E+02
  5.5063E+02  2.1595E+02  6.4433E+01
  7.8336E+01  8.0865E+01  1.0998E+02  2.9032E+01
  1.8794E+01  3.0303E+02  1.1562E+03  1.0135E+03
  5.8804E+02  2.2969E+02  6.8303E+01
  7.5567E+01  7.9424E+01  1.1196E+02  3.0406E+01
  1.9853E+01  2.9142E+02  1.1521E+03  1.0816E+03
  6.3029E+02  2.4514E+02  7.2645E+01
  7.2725E+01  7.7863E+01  1.1397E+02  3.1903E+01
  2.1025E+01  2.7934E+02  1.1374E+03  1.1554E+03
  6.7801E+02  2.6251E+02  7.7500E+01
  7.0227E+01  7.6432E+01  1.1573E+02  3.3301E+01
  2.2135E+01  2.6857E+02  1.1157E+03  1.2223E+03
  7.2395E+02  2.7917E+02  8.2141E+01
  6.7841E+01  7.5007E+01  1.1739E+02  3.4710E+01
  2.3270E+01  2.5819E+02  1.0883E+03  1.2868E+03
  7.7159E+02  2.9641E+02  8.6924E+01
  6.5558E+01  7.3588E+01  1.1894E+02  3.6128E+01
  2.4429E+01  2.4820E+02  1.0569E+03  1.3473E+03
  8.2090E+02  3.1423E+02  9.1849E+01
  6.3364E+01  7.2171E+01  1.2038E+02  3.7555E+01
  2.5613E+01  2.3859E+02  1.0230E+03  1.4024E+03
  8.7193E+02  3.3265E+02  9.6923E+01
  6.1250E+01  7.0755E+01  1.2172E+02  3.8993E+01
  2.6823E+01  2.2931E+02  9.8735E+02  1.4503E+03
  9.2464E+02  3.5171E+02  1.0215E+02
  5.9212E+01  6.9340E+01  1.2296E+02  4.0439E+01
  2.8060E+01  2.2037E+02  9.5100E+02  1.4895E+03
  9.7887E+02  3.7139E+02  1.0754E+02
  5.7244E+01  6.7925E+01  1.2408E+02  4.1889E+01
  2.9319E+01  2.1177E+02  9.1460E+02  1.5187E+03
  1.0345E+03  3.9168E+02  1.1307E+02
  5.5338E+01  6.6510E+01  1.2510E+02  4.3347E+01
  3.0606E+01  2.0347E+02  8.7840E+02  1.5368E+03
  1.0913E+03  4.1261E+02  1.1876E+02
  5.3908E+01  6.5413E+01  1.2580E+02  4.4471E+01
  3.1614E+01  1.9728E+02  8.5100E+02  1.5435E+03
  1.1360E+03  4.2922E+02  1.2326E+02
  5.2993E+01  6.4700E+01  1.2623E+02  4.5207E+01
  3.2281E+01  1.9333E+02  8.3327E+02  1.5439E+03
  1.1653E+03  4.4025E+02  1.2625E+02
  5.1682E+01  6.3664E+01  1.2682E+02  4.6290E+01
  3.3269E+01  1.8765E+02  8.0757E+02  1.5390E+03
  1.2080E+03  4.5662E+02  1.3068E+02
  4.9934E+01  6.2242E+01  1.2753E+02  4.7767E+01
  3.4641E+01  1.8016E+02  7.7343E+02  1.5237E+03
  1.2666E+03  4.7959E+02  1.3689E+02
  4.8233E+01  6.0822E+01  1.2813E+02  4.9253E+01
  3.6042E+01  1.7290E+02  7.4013E+02  1.4987E+03
  1.3246E+03  5.0321E+02  1.4327E+02
  4.6574E+01  5.9411E+01  1.2868E+02  5.0759E+01
  3.7481E+01  1.6583E+02  7.0748E+02  1.4643E+03
  1.3802E+03  5.2742E+02  1.4982E+02
  4.4964E+01  5.8030E+01  1.2923E+02  5.2299E+01
  3.8957E+01  1.5893E+02  6.7531E+02  1.4209E+03
  1.4307E+03  5.5187E+02  1.5650E+02
  4.3400E+01  5.6680E+01  1.2979E+02  5.3880E+01
  4.0475E+01  1.5220E+02  6.4368E+02  1.3702E+03
  1.4737E+03  5.7638E+02  1.6329E+02
  4.1879E+01  5.5354E+01  1.3036E+02  5.5506E+01
  4.2037E+01  1.4563E+02  6.1274E+02  1.3145E+03
  1.5071E+03  6.0080E+02  1.7018E+02
  4.0396E+01  5.4052E+01  1.3094E+02  5.7183E+01
  4.3644E+01  1.3923E+02  5.8255E+02  1.2552E+03
  1.5287E+03  6.2488E+02  1.7715E+02
  3.9297E+01  5.3072E+01  1.3137E+02  5.8480E+01
  4.4891E+01  1.3451E+02  5.6035E+02  1.2096E+03
