n_points
   446
-0.580000   624   576   422   374   360   394   374 
-0.578000   595   624   418   379   379   384   384 
-0.576000   624   634   418   389   365   374   394 
-0.574000   634   662   413   389   370   365   379 
-0.572000   547   634   413   389   360   350   370 
-0.570000   576   595   413   379   370   365   365 
-0.568000   566   586   413   360   384   384   365 
-0.566000   634   586   418   374   365   350   379 
-0.564000   595   634   413   389   370   365   384 
-0.562000   624   653   418   394   370   384   394 
-0.560000   566   624   422   389   355   394   389 
-0.558000   557   566   418   374   394   360   365 
-0.556000   595   566   413   379   437   394   360 
-0.554000   557   576   408   374   394   398   360 
-0.552000   566   586   408   389   360   370   379 
-0.550000   614   605   413   394   370   370   394 
-0.548000   557   614   418   389   355   346   394 
-0.546000   547   576   422   370   360   360   370 
-0.544000   557   566   413   360   379   384   355 
-0.542000   576   576   403   379   374   384   355 
-0.540000   576   566   403   389   370   355   370 
-0.538000   528   576   408   394   384   389   394 
-0.536000   538   576   422   389   365   408   403 
-0.534000   566   566   427   374   418   398   384 
-0.532000   528   566   413   365   374   365   355 
-0.530000   538   547   403   389   418   360   350 
-0.528000   547   518   403   384   360   355   365 
-0.526000   547   528   408   389   370   365   394 
-0.524000   557   528   418   379   398   384   398 
-0.522000   509   547   422   365   365   365   394 
-0.520000   509   576   418   365   360   370   360 
-0.518000   499   547   403   379   370   374   350 
-0.516000   499   509   398   389   394   370   365 
-0.514000   518   470   413   389   379   370   379 
-0.512000   528   499   418   379   360   403   394 
-0.510000   547   538   422   374   432   418   394 
-0.508000   509   557   413   374   370   398   374 
-0.506000   499   538   403   379   394   350   350 
-0.504000   509   509   398   389   370   370   360 
-0.502000   499   480   398   374   365   355   374 
-0.500000   518   490   408   370   394   384   384 
-0.498000   528   518   408   360   418   355   394 
-0.496000   547   538   403   379   370   360   379 
-0.494000   451   518   394   389   360   365   379 
-0.492000   480   470   389   389   398   360   374 
-0.490000   509   461   389   389   403   370   379 
-0.488000   470   480   394   374   442   384   384 
-0.486000   480   490   394   374   418   408   394 
-0.484000   499   509   398   384   374   389   394 
-0.482000   480   509   394   389   365   384   384 
-0.480000   480   490   394   389   331   384   374 
-0.478000   480   480   394   384   350   355   379 
-0.476000   480   480   398   365   374   370   374 
-0.474000   470   470   398   370   379   394   384 
-0.472000   442   480   398   389   394   365   384 
-0.470000   442   480   398   398   374   374   394 
-0.468000   470   480   403   394   360   384   394 
-0.466000   432   470   403   379   384   384   374 
-0.464000   442   461   398   379   442   384   370 
-0.462000   432   432   398   379   432   413   374 
-0.460000   442   442   398   394   370   384   384 
-0.458000   451   442   398   394   398   370   398 
-0.456000   470   461   408   389   374   389   398 
-0.454000   413   470   413   370   422   370   379 
-0.452000   451   470   403   370   437   379   370 
-0.450000   413   432   398   379   374   384   370 
-0.448000   413   394   403   398   379   365   379 
-0.446000   432   403   408   398   374   370   398 
-0.444000   461   442   422   389   360   384   408 
-0.442000   480   470   422   379   398   394   398 
-0.440000   394   442   413   384   437   384   374 
-0.438000   374   413   398   394   384   370   370 
-0.436000   394   394   398   394   432   370   379 
-0.434000   451   394   403   398   365   374   403 
-0.432000   422   413   418   389   427   389   408 
-0.430000   432   451   422   379   422   370   403 
-0.428000   394   432   422   389   360   374   384 
-0.426000   384   365   413   394   365   370   379 
-0.424000   413   365   413   403   374   350   394 
-0.422000   403   374   427   398   379   384   403 
-0.420000   403   403   437   394   365   398   422 
-0.418000   432   403   442   394   437   408   427 
-0.416000   422   413   442   394   374   389   413 
-0.414000   403   394   427   398   413   384   394 
-0.412000   403   384   418   408   394   360   394 
-0.410000   413   365   418   389   374   370   408 
-0.408000   432   365   427   389   413   384   413 
-0.406000   394   384   427   384   427   365   418 
-0.404000   394   374   422   394   355   355   408 
-0.402000   422   384   413   403   360   365   403 
-0.400000   403   384   413   403   389   370   398 
-0.398000   394   394   413   398   394   365   403 
-0.396000   413   365   422   389   442   408   403 
-0.394000   413   365   422   389   432   413   408 
-0.392000   432   374   418   389   398   389   408 
-0.390000   422   394   418   398   365   384   398 
-0.388000   403   394   418   394   355   365   398 
-0.386000   374   374   418   394   374   374   398 
-0.384000   355   355   422   379   432   394   398 
-0.382000   346   317   422   389   422   346   403 
-0.380000   365   317   422   398   403   365   408 
-0.378000   346   336   422   413   374   365   418 
-0.376000   346   365   427   403   365   374   418 
-0.374000   317   346   422   389   427   374   403 
-0.372000   355   317   422   389   422   374   398 
-0.370000   326   317   427   389   432   408   403 
-0.368000   355   317   422   403   374   384   408 
-0.366000   384   336   427   398   442   384   418 
-0.364000   355   355   432   394   370   398   418 
-0.362000   298   346   432   374   374   374   403 
-0.360000   298   307   422   379   427   384   394 
-0.358000   317   298   418   389   427   394   394 
-0.356000   346   298   418   403   374   370   403 
-0.354000   317   317   422   408   384   403   418 
-0.352000   307   317   437   398   394   427   432 
-0.350000   317   317   442   389   442   389   418 
-0.348000   317   317   437   379   422   384   398 
-0.346000   317   317   427   398   446   384   394 
-0.344000   326   298   427   398   374   403   403 
-0.342000   336   288   432   408   394   389   427 
-0.340000   307   288   442   394   427   408   437 
-0.338000   307   288   446   389   379   384   422 
-0.336000   317   298   442   394   374   384   403 
-0.334000   259   288   427   403   379   384   394 
-0.332000   240   288   427   418   432   394   403 
-0.330000   259   269   442   413   408   394   418 
-0.328000   307   269   446   398   408   437   437 
-0.326000   288   269   451   389   456   418   437 
-0.324000   269   278   446   394   422   384   422 
-0.322000   269   288   437   398   437   374   398 
-0.320000   269   278   432   413   374   360   408 
-0.318000   240   269   437   398   394   384   418 
-0.316000   230   250   446   408   446   408   432 
-0.314000   278   259   446   403   442   374   437 
-0.312000   298   259   442   408   370   374   418 
-0.310000   221   269   437   418   355   394   413 
-0.308000   192   259   437   413   418   384   418 
-0.306000   202   240   437   413   451   384   422 
-0.304000   230   240   442   403   442   418   422 
-0.302000   269   240   446   413   413   413   437 
-0.300000   250   250   446   422   437   389   437 
-0.298000   240   230   442   418   394   398   427 
-0.296000   182   221   442   403   394   379   418 
-0.294000   202   221   442   408   422   394   418 
-0.292000   221   221   442   398   427   403   418 
-0.290000   211   192   446   413   374   374   427 
-0.288000   202   202   446   427   418   398   432 
-0.286000   221   230   451   437   379   418   442 
-0.284000   221   211   451   418   427   408   437 
-0.282000   230   221   446   403   432   403   422 
-0.280000   173   221   442   413   446   398   418 
-0.278000   202   202   442   418   394   422   418 
-0.276000   221   173   442   427   394   389   432 
-0.274000   240   182   451   422   427   398   451 
-0.272000   221   202   456   403   418   374   442 
-0.270000   202   221   451   394   418   384   418 
-0.268000   182   221   437   403   418   398   403 
-0.266000   192   202   432   422   442   384   403 
-0.264000   173   173   437   432   394   384   422 
-0.262000   221   173   446   432   427   403   446 
