   2.77450E+00   1.43268E+00   1.02872E+01   1.02826E+01   9.57684E+00   9.73478E+00   1.06390E+01   9.68482E+00   3.10351E+00   2.14681E-01   5.99863E-02   1.16065E-01   5.18721E-01   2.89755E+00   8.78154E+02   8.93184E+02   7.55512E+02   7.58312E+02   9.66363E+02   7.25271E+02   9.61860E+01  -6.05699E-01   2.28441E-02  -5.02706E-01   6.52025E+00   1.12823E+02  -2.42272E+02   1.91116E+01   2.07602E+01  -3.18870E+01   1.08078E+01   2.21454E+02  -7.14881E+01  -9.35500E-01   1.20268E-02   3.57934E-01  -3.91187E+00   7.79885E+01  -2.02625E+00  -2.02625E+00   2.02625E+00  -2.02625E+00
   3.27450E+00   1.46525E+00   1.01601E+01   1.02128E+01   9.47188E+00   9.59457E+00   1.04819E+01   9.60787E+00   3.04381E+00   1.99064E-01   8.69499E-02   8.62054E-02   5.25730E-01   2.88039E+00   8.54058E+02   8.81967E+02   7.35776E+02   7.37520E+02   9.37711E+02   7.20562E+02   9.22913E+01  -5.38313E-01   2.48083E-01  -2.91179E-01   6.76833E+00   1.11054E+02  -2.38182E+02   1.85143E+01   2.22232E+01  -3.04571E+01   7.31179E+00   2.17271E+02  -6.94445E+01  -7.76837E-01   1.17016E-01   1.77994E-01  -3.88556E+00   7.72394E+01  -3.31872E+00  -3.31872E+00   3.31872E+00  -3.31872E+00
   3.77450E+00   1.55768E+00   9.97113E+00   1.00160E+01   9.29853E+00   9.39027E+00   1.02187E+01   9.47242E+00   2.95294E+00   1.90756E-01   1.01969E-01   6.12566E-02   5.31906E-01   2.86273E+00   8.22350E+02   8.48397E+02   7.09883E+02   7.11039E+02   8.90642E+02   7.11278E+02   8.67098E+01  -4.93242E-01   3.86166E-01  -6.61295E-02   6.98466E+00   1.09318E+02  -2.29985E+02   1.74213E+01   2.10742E+01  -2.71983E+01   3.60658E+00   2.09662E+02  -6.61520E+01  -6.99749E-01   1.69543E-01   3.65566E-02  -3.83814E+00   7.61072E+01  -5.41863E+00  -5.41863E+00   5.41863E+00  -5.41863E+00
   4.27450E+00   1.69284E+00   9.85812E+00   9.88183E+00   9.07148E+00   9.13985E+00   1.00226E+01   9.35739E+00   2.88443E+00   1.89571E-01   1.26425E-01   9.04258E-02   5.48229E-01   2.85519E+00   8.03862E+02   8.25970E+02   6.66669E+02   6.66990E+02   8.57202E+02   6.99814E+02   8.24523E+01  -5.07055E-01   6.33981E-01   2.46574E-01   7.47218E+00   1.08035E+02  -2.25218E+02   2.23623E+01   2.41064E+01  -2.82996E+01  -3.09962E+00   2.03408E+02  -6.37897E+01  -6.86540E-01   2.42724E-01  -1.23028E-01  -3.82842E+00   7.50895E+01  -6.74066E+00  -6.74066E+00   6.74066E+00  -6.74066E+00
   4.77450E+00   1.81587E+00   9.74302E+00   9.77305E+00   8.89987E+00   8.93261E+00   9.83676E+00   9.25119E+00   2.82178E+00   1.79149E-01   1.49026E-01   1.16121E-01   5.69833E-01   2.86177E+00   7.84393E+02   8.08064E+02   6.34724E+02   6.33965E+02   8.25444E+02   6.88943E+02   7.85490E+01  -4.57013E-01   8.80339E-01   4.86693E-01   8.09891E+00   1.07781E+02  -2.20883E+02   2.50178E+01   2.61920E+01  -2.80610E+01  -7.63581E+00   1.97127E+02  -6.16478E+01  -5.82336E-01   3.06197E-01  -2.22923E-01  -3.84637E+00   7.43865E+01  -8.24333E+00  -8.24333E+00   8.24333E+00  -8.24333E+00
   5.27450E+00   1.92818E+00   9.64092E+00   9.64105E+00   8.70892E+00   8.73791E+00   9.69374E+00   9.16660E+00   2.76894E+00   1.67688E-01   1.69513E-01   1.39029E-01   6.00206E-01   2.89037E+00   7.68632E+02   7.86036E+02   6.01419E+02   6.00652E+02   8.01745E+02   6.80181E+02   7.52457E+01  -3.90915E-01   1.11769E+00   7.19020E-01   8.98839E+00   1.09173E+02  -2.16222E+02   2.85814E+01   2.75583E+01  -2.91511E+01  -1.26495E+01   1.91765E+02  -5.98197E+01  -4.68939E-01   3.59535E-01  -3.05481E-01  -3.92907E+00   7.44545E+01  -1.01186E+01  -1.01186E+01   1.01186E+01  -1.01186E+01
   5.77450E+00   2.04694E+00   9.56072E+00   9.51334E+00   8.50726E+00   8.53515E+00   9.55966E+00   9.08775E+00   2.72666E+00   1.57382E-01   1.91087E-01   1.63746E-01   6.42315E-01   2.93519E+00   7.57178E+02   7.64650E+02   5.66332E+02   5.65631E+02   7.79719E+02   6.72373E+02   7.25670E+01  -3.23386E-01   1.38540E+00   9.87772E-01   1.02551E+01   1.11659E+02  -2.12084E+02   3.33568E+01   2.91480E+01  -3.06173E+01  -1.82511E+01   1.86406E+02  -5.83643E+01  -3.65388E-01   4.07588E-01  -3.95664E-01  -4.08000E+00   7.50296E+01  -1.20416E+01  -1.20416E+01   1.20416E+01  -1.20416E+01
   6.27450E+00   2.16353E+00   9.48583E+00   9.38751E+00   8.31619E+00   8.33246E+00   9.40421E+00   9.00179E+00   2.69036E+00   1.44613E-01   2.12067E-01   1.85019E-01   6.94677E-01   2.99339E+00   7.46886E+02   7.43473E+02   5.34544E+02   5.33621E+02   7.54183E+02   6.64755E+02   7.02273E+01  -2.21481E-01   1.66117E+00   1.23490E+00   1.18902E+01   1.15068E+02  -2.07995E+02   3.76955E+01   3.03263E+01  -3.11029E+01  -2.32095E+01   1.80244E+02  -5.71120E+01  -2.35180E-01   4.52036E-01  -4.74915E-01  -4.27420E+00   7.58890E+01  -1.40415E+01  -1.40415E+01   1.40415E+01  -1.40415E+01
   6.77450E+00   2.28149E+00   9.41635E+00   9.25265E+00   8.12306E+00   8.12809E+00   9.23922E+00   8.91928E+00   2.66036E+00   1.33329E-01   2.32562E-01   2.03278E-01   7.56530E-01   3.06647E+00   7.38125E+02   7.20659E+02   5.04163E+02   5.03051E+02   7.27296E+02   6.57598E+02   6.82135E+01  -8.17242E-02   1.94428E+00   1.45854E+00   1.39409E+01   1.19557E+02  -2.03701E+02   4.19707E+01   3.10389E+01  -3.11927E+01  -2.78839E+01   1.73603E+02  -5.60502E+01  -8.13238E-02   4.95688E-01  -5.46042E-01  -4.49550E+00   7.70611E+01  -1.61647E+01  -1.61647E+01   1.61647E+01  -1.61647E+01
   7.27450E+00   2.39784E+00   9.35646E+00   9.11266E+00   7.92729E+00   7.92428E+00   9.06855E+00   8.83690E+00   2.63771E+00   1.39976E-01   2.52425E-01   2.19033E-01   8.27808E-01   3.15309E+00   7.31128E+02   6.96689E+02   4.74833E+02   4.73547E+02   6.99647E+02   6.50941E+02   6.65893E+01   9.39563E-02   2.23255E+00   1.65965E+00   1.64651E+01   1.25069E+02  -1.99259E+02   4.62669E+01   3.14103E+01  -3.10143E+01  -3.23428E+01   1.66602E+02  -5.52132E+01   8.76480E-02   5.39169E-01  -6.15133E-01  -4.73927E+00   7.85132E+01  -1.83373E+01  -1.83373E+01   1.83373E+01  -1.83373E+01
