 tt,betpj,betp_flat,emoe,del_emo,del_emo_0
  5.1110E+04  1.1402E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1120E+04  1.1368E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1130E+04  1.1467E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1140E+04  1.1564E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1150E+04  1.1656E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1160E+04  1.1746E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1170E+04  1.1833E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1180E+04  1.1920E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1190E+04  1.2007E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1200E+04  1.2092E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1210E+04  1.2176E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1220E+04  1.2260E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1230E+04  1.2342E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1240E+04  1.2424E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1250E+04  1.2505E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1260E+04  1.2585E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1270E+04  1.2666E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1280E+04  1.2745E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1290E+04  1.2825E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1300E+04  1.2904E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1310E+04  1.2982E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1320E+04  1.3063E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1330E+04  1.3140E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1340E+04  1.3215E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1350E+04  1.3292E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1360E+04  1.3368E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1370E+04  1.3445E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1380E+04  1.3522E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1390E+04  1.3598E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1400E+04  1.3674E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1410E+04  1.3750E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1420E+04  1.3826E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1430E+04  1.3901E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1440E+04  1.3976E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1450E+04  1.4051E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1460E+04  1.4125E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1470E+04  1.4199E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1480E+04  1.4274E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1490E+04  1.4348E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1500E+04  1.4421E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1510E+04  1.4495E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1520E+04  1.4568E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1530E+04  1.4641E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1540E+04  1.4713E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1550E+04  1.4785E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1560E+04  1.4857E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1570E+04  1.4929E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1580E+04  1.5000E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1590E+04  1.5072E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1600E+04  1.5143E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1610E+04  1.5213E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1620E+04  1.5284E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1630E+04  1.5354E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1640E+04  1.5424E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
  5.1650E+04  1.5493E-01  6.0000E-01  5.8000E+01  0.0000E+00  0.0000E+00
