 ncam==
 232
  mutuals...
  1.8888E+03  1.2166E+03  9.1243E+02  7.3801E+02
  6.1761E+02  5.2726E+02  4.5604E+02  3.9806E+02
  3.4996E+02  3.0954E+02  2.7502E+02  2.4535E+02
  2.1970E+02  2.0401E+02  1.9375E+02  1.7975E+02
  1.6640E+02  1.5699E+02  1.5095E+02  1.4771E+02
  1.4681E+02  1.4788E+02  1.5061E+02  1.5480E+02
  1.6026E+02  1.6681E+02  1.7435E+02  1.8279E+02
  1.9121E+02  2.0084E+02  2.1081E+02  2.1932E+02
  2.2703E+02  2.3403E+02  2.4000E+02  2.4621E+02
  2.5246E+02  2.5789E+02  2.6294E+02  2.6760E+02
  2.7187E+02  2.7575E+02  2.7923E+02  2.8229E+02
  2.8495E+02  2.8668E+02  2.8769E+02  2.8904E+02
  2.9047E+02  2.9151E+02  2.9226E+02  2.9288E+02
  2.9340E+02  2.9381E+02  2.9412E+02  2.9421E+02
  2.9427E+02  2.9437E+02  2.9394E+02  2.9263E+02
  2.9036E+02  2.8713E+02  2.8295E+02  2.7786E+02
  2.7188E+02  2.6510E+02  2.5759E+02  2.4944E+02
  2.4178E+02  2.3269E+02  2.2221E+02  2.1287E+02
  2.0377E+02  1.9496E+02  1.8642E+02  1.7813E+02
  1.7014E+02  1.6244E+02  1.5503E+02  1.4795E+02
  1.4120E+02  1.3481E+02  1.2991E+02  1.2521E+02
  1.2058E+02  1.1821E+02  1.1734E+02  1.1821E+02
  1.2109E+02  1.2639E+02  1.3449E+02  1.4589E+02
  1.6053E+02  1.7776E+02  1.9735E+02  2.1969E+02
  2.4539E+02  2.7507E+02  3.0952E+02  3.4995E+02
  3.9804E+02  4.5601E+02  5.2727E+02  6.1773E+02
  7.3812E+02  9.1244E+02  1.2166E+03  1.1059E+03
  9.7480E+02  7.9855E+02  6.6285E+02  5.6021E+02
  4.8003E+02  4.1563E+02  3.6278E+02  3.1869E+02
  2.8151E+02  2.4973E+02  2.2239E+02  1.9874E+02
  1.8329E+02  1.7386E+02  1.6155E+02  1.4866E+02
  1.3918E+02  1.3248E+02  1.2812E+02  1.2573E+02
  1.2498E+02  1.2558E+02  1.2740E+02  1.3024E+02
  1.3400E+02  1.3857E+02  1.4383E+02  1.4974E+02
  1.5622E+02  1.6321E+02  1.7044E+02  1.7755E+02
