!!!!!!!!!!!!!!!
  2.500000e+003    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  3.500000e+003   -2.1433   -1.7457   -5.6527   -2.1042   -1.0021    1.6345   -6.8595   -4.8533   -7.8773   -3.6016   -0.2298     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  6.181000e+003   -2.1660   -1.7534   -0.4819   -1.7326    0.3238    1.6207   -7.3930   -4.2175   -7.7707   -5.5164   -0.1347     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  8.869000e+003   -2.1136   -1.6443   -0.8473   -1.6377    0.3361    1.8139   -5.2749   -6.7290   -4.7132   -6.6988   -0.2220     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  1.155000e+004   -2.1516   -1.8084   -3.1921   -1.8008    0.3014    1.8267   -4.3213   -9.8193   -4.8679   -6.5418   -0.2485     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  1.505000e+004   -0.9107   -1.6188   -3.6050   -1.4771   -0.6384    0.0190   -4.2810   -4.1714   -5.2949   -3.6856   -0.0362     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  1.574417e+004   -0.6153   -1.5737   -3.7033   -1.4000   -0.8621   -0.4113   -4.2714   -2.8272   -5.3965   -3.0058    0.0143     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  1.935500e+004   -0.6400   -1.5784   -3.6898   -1.3832   -0.8573   -0.7857   -3.5935   -3.3760   -5.1349   -3.0172    0.0163     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  2.296583e+004   -0.6473   -1.5808   -3.6950   -1.3791   -0.8562   -0.8953   -3.3622   -3.6527   -4.9631   -3.0418    0.0145     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  2.657666e+004   -0.6595   -1.5832   -3.6902   -1.3655   -0.8521   -1.0859   -2.9640   -4.0243   -4.7933   -3.0377    0.0175     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  3.018749e+004   -0.6757   -1.5855   -3.6761   -1.3562   -0.8497   -1.3339   -2.5445   -4.3793   -4.5415   -3.0669    0.0167     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  3.379832e+004   -0.6923   -1.5897   -3.6760   -1.3430   -0.8462   -1.5853   -2.0735   -4.8402   -4.3068   -3.0747    0.0174     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  3.740915e+004   -0.6914   -1.5893   -3.6765   -1.3336   -0.8427   -1.5827   -1.9912   -4.9880   -4.1951   -3.0792    0.0198     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  4.101999e+004   -0.7065   -1.5920   -3.6693   -1.3281   -0.8414   -1.8120   -1.6099   -5.3602   -3.9558   -3.1032    0.0186     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  4.463082e+004   -0.7132   -1.5947   -3.6665   -1.2787   -0.9043   -1.9213   -1.3697   -5.5668   -3.8580   -3.0369    0.0092     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  5.005000e+004   -0.7218   -1.5897   -3.6401   -1.3308   -0.7908   -2.0763   -1.0881   -6.0055   -3.4773   -3.1752    0.0278     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  7.300000e+004   -0.4879   -0.8476   -2.7347   -1.3229   -0.7518   -2.1206   -1.4763   -5.8309   -4.3263   -1.8678   -0.6802     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  7.600000e+004    1.4917    2.5964    5.0816    2.1298    0.7685   -1.0184    3.1463    3.7618    2.3345    0.8277    2.2015     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  8.350000e+004   -1.1782    0.3476    0.3656   -0.2476   -0.0509    0.5669    0.2221   -2.8435   -1.1946   -0.5488    0.3314     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  4.990000e+005   -0.0467   -0.1334   -0.1455   -0.1159   -0.0645   -0.0670   -0.1646   -0.0197   -0.1630   -0.1162   -0.0860     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  5.000000e+005    0.0482    0.0932    0.4299    0.0724   -0.0123    0.1914    0.7133    0.4179    0.9658    0.2767   -0.2271     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  5.300000e+005  -1.070242e-001  -1.491260e-001  -6.623880e-001  -5.413124e-001  -4.282850e-001  -4.498388e-001  -1.474110e+000  5.731320e-001  1.245606e+000  -5.827760e-001  -8.764850e-001     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  5.450000e+005  -4.449216e-001  1.442108e-001  1.059897e+000  2.414616e-001  -1.417754e-001  -1.342494e-001  1.848326e+000  1.167396e+000  2.296496e+000  2.321190e+000  -1.713969e+000     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  5.600000e+005  3.796277e-001  4.095780e-001  9.525466e-001  5.778494e-001  2.379506e-001  -1.135212e-001  9.512798e-001  1.613815e+000  3.568372e-001  1.437581e+000  -2.480493e-002     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  5.900000e+005  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
  2.703500e+008  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000     0.0000    0.0000    0.0000    0.0000    0.0000    0.0000

