  ktime 
 526
  time [S], Ecoil [kA] 
  3.090000E+00 -2.299630E+00 -2.109649E+00 -2.281709E+00 -2.021052E+00
  3.092000E+00 -2.282844E+00 -2.120781E+00 -2.292812E+00 -2.009916E+00
  3.094000E+00 -2.288439E+00 -2.115215E+00 -2.259503E+00 -2.032187E+00
  3.096000E+00 -2.282844E+00 -2.109649E+00 -2.292812E+00 -2.032187E+00
  3.098000E+00 -2.282844E+00 -2.104082E+00 -2.281709E+00 -2.043322E+00
  3.100000E+00 -2.305225E+00 -2.104082E+00 -2.292812E+00 -2.026619E+00
  3.102000E+00 -2.277249E+00 -2.120781E+00 -2.259503E+00 -2.043322E+00
  3.104000E+00 -2.299630E+00 -2.131914E+00 -2.253951E+00 -2.032187E+00
  3.106000E+00 -2.316415E+00 -2.109649E+00 -2.248399E+00 -2.048890E+00
  3.108000E+00 -2.294034E+00 -2.115215E+00 -2.270606E+00 -2.037755E+00
  3.110000E+00 -2.322011E+00 -2.109649E+00 -2.270606E+00 -2.032187E+00
  3.112000E+00 -2.316415E+00 -2.076251E+00 -2.259503E+00 -2.021052E+00
  3.114000E+00 -2.333201E+00 -2.087383E+00 -2.270606E+00 -2.026619E+00
  3.116000E+00 -2.327606E+00 -2.115215E+00 -2.298364E+00 -2.026619E+00
  3.118000E+00 -2.349986E+00 -2.126348E+00 -2.276158E+00 -2.015484E+00
  3.120000E+00 -2.310820E+00 -2.115215E+00 -2.270606E+00 -2.009916E+00
  3.122000E+00 -2.333201E+00 -2.109649E+00 -2.298364E+00 -2.037755E+00
  3.124000E+00 -2.322011E+00 -2.109649E+00 -2.298364E+00 -2.048890E+00
  3.126000E+00 -2.344391E+00 -2.098516E+00 -2.292812E+00 -2.037755E+00
  3.128000E+00 -2.344391E+00 -2.098516E+00 -2.281709E+00 -2.048890E+00
  3.130000E+00 -2.322011E+00 -2.109649E+00 -2.298364E+00 -2.054457E+00
  3.132000E+00 -2.338796E+00 -2.115215E+00 -2.298364E+00 -2.048890E+00
  3.134000E+00 -2.344391E+00 -2.120781E+00 -2.270606E+00 -2.037755E+00
  3.136000E+00 -2.333201E+00 -2.115215E+00 -2.320570E+00 -2.065593E+00
  3.138000E+00 -2.322011E+00 -2.115215E+00 -2.326122E+00 -2.043322E+00
  3.140000E+00 -2.316415E+00 -2.126348E+00 -2.303916E+00 -2.054457E+00
  3.142000E+00 -2.316415E+00 -2.126348E+00 -2.303916E+00 -2.054457E+00
  3.144000E+00 -2.322011E+00 -2.137480E+00 -2.276158E+00 -2.060025E+00
  3.146000E+00 -2.305225E+00 -2.137480E+00 -2.309467E+00 -2.071160E+00
  3.148000E+00 -2.333201E+00 -2.148613E+00 -2.292812E+00 -2.065593E+00
  3.150000E+00 -2.305225E+00 -2.148613E+00 -2.292812E+00 -2.060025E+00
  3.152000E+00 -2.333201E+00 -2.154179E+00 -2.303916E+00 -2.071160E+00
  3.154000E+00 -2.322011E+00 -2.137480E+00 -2.276158E+00 -2.082296E+00
  3.156000E+00 -2.344391E+00 -2.143047E+00 -2.265054E+00 -2.060025E+00
  3.158000E+00 -2.333201E+00 -2.131914E+00 -2.298364E+00 -2.076728E+00
  3.160000E+00 -2.361177E+00 -2.131914E+00 -2.315019E+00 -2.093431E+00
  3.162000E+00 -2.327606E+00 -2.126348E+00 -2.298364E+00 -2.087863E+00
  3.164000E+00 -2.305225E+00 -2.131914E+00 -2.292812E+00 -2.082296E+00
  3.166000E+00 -2.344391E+00 -2.148613E+00 -2.265054E+00 -2.071160E+00
  3.168000E+00 -2.305225E+00 -2.126348E+00 -2.303916E+00 -2.071160E+00
  3.170000E+00 -2.294034E+00 -2.115215E+00 -2.298364E+00 -2.082296E+00
  3.172000E+00 -2.327606E+00 -2.126348E+00 -2.303916E+00 -2.076728E+00
  3.174000E+00 -2.344391E+00 -2.137480E+00 -2.320570E+00 -2.071160E+00
  3.176000E+00 -2.361177E+00 -2.109649E+00 -2.292812E+00 -2.071160E+00
  3.178000E+00 -2.338796E+00 -2.115215E+00 -2.287261E+00 -2.076728E+00
  3.180000E+00 -2.366772E+00 -2.131914E+00 -2.320570E+00 -2.076728E+00
  3.182000E+00 -2.344391E+00 -2.131914E+00 -2.292812E+00 -2.060025E+00
  3.184000E+00 -2.333201E+00 -2.115215E+00 -2.287261E+00 -2.071160E+00
  3.186000E+00 -2.338796E+00 -2.109649E+00 -2.292812E+00 -2.060025E+00
  3.188000E+00 -2.338796E+00 -2.115215E+00 -2.292812E+00 -2.054457E+00
  3.190000E+00 -2.322011E+00 -2.092950E+00 -2.298364E+00 -2.082296E+00
  3.192000E+00 -2.361177E+00 -2.092950E+00 -2.303916E+00 -2.065593E+00
  3.194000E+00 -2.338796E+00 -2.081817E+00 -2.298364E+00 -2.054457E+00
  3.196000E+00 -2.338796E+00 -2.070684E+00 -2.303916E+00 -2.054457E+00
  3.198000E+00 -2.372367E+00 -2.065118E+00 -2.309467E+00 -2.026619E+00
  3.200000E+00 -2.344391E+00 -2.087383E+00 -2.326122E+00 -2.015484E+00
  3.202000E+00 -2.344391E+00 -2.087383E+00 -2.359432E+00 -2.043322E+00
  3.204000E+00 -2.383558E+00 -2.092950E+00 -2.337225E+00 -2.037755E+00
  3.206000E+00 -2.400343E+00 -2.092950E+00 -2.359432E+00 -2.048890E+00
  3.208000E+00 -2.377962E+00 -2.109649E+00 -2.353880E+00 -2.037755E+00
  3.210000E+00 -2.383558E+00 -2.115215E+00 -2.342777E+00 -2.048890E+00
  3.212000E+00 -2.355582E+00 -2.120781E+00 -2.320570E+00 -2.048890E+00
  3.214000E+00 -2.349986E+00 -2.137480E+00 -2.337225E+00 -2.060025E+00
  3.216000E+00 -2.349986E+00 -2.143047E+00 -2.359432E+00 -2.071160E+00
  3.218000E+00 -2.349986E+00 -2.148613E+00 -2.303916E+00 -2.054457E+00
  3.220000E+00 -2.333201E+00 -2.143047E+00 -2.320570E+00 -2.065593E+00
  3.222000E+00 -2.366772E+00 -2.159746E+00 -2.309467E+00 -2.060025E+00
  3.224000E+00 -2.349986E+00 -2.148613E+00 -2.342777E+00 -2.076728E+00
  3.226000E+00 -2.361177E+00 -2.148613E+00 -2.320570E+00 -2.071160E+00
  3.228000E+00 -2.344391E+00 -2.143047E+00 -2.337225E+00 -2.082296E+00
  3.230000E+00 -2.338796E+00 -2.148613E+00 -2.315019E+00 -2.087863E+00
  3.232000E+00 -2.344391E+00 -2.154179E+00 -2.303916E+00 -2.082296E+00
  3.234000E+00 -2.327606E+00 -2.159746E+00 -2.270606E+00 -2.087863E+00
  3.236000E+00 -2.316415E+00 -2.154179E+00 -2.281709E+00 -2.082296E+00
  3.238000E+00 -2.355582E+00 -2.143047E+00 -2.259503E+00 -2.098999E+00
  3.240000E+00 -2.361177E+00 -2.148613E+00 -2.292812E+00 -2.098999E+00
  3.242000E+00 -2.377962E+00 -2.143047E+00 -2.309467E+00 -2.098999E+00
  3.244000E+00 -2.366772E+00 -2.143047E+00 -2.303916E+00 -2.098999E+00
  3.246000E+00 -2.333201E+00 -2.143047E+00 -2.309467E+00 -2.110134E+00
  3.248000E+00 -2.338796E+00 -2.165312E+00 -2.326122E+00 -2.098999E+00
  3.250000E+00 -2.361177E+00 -2.176445E+00 -2.303916E+00 -2.076728E+00
  3.252000E+00 -2.327606E+00 -2.148613E+00 -2.309467E+00 -2.087863E+00
  3.254000E+00 -2.355582E+00 -2.143047E+00 -2.276158E+00 -2.098999E+00
  3.256000E+00 -2.344391E+00 -2.143047E+00 -2.309467E+00 -2.098999E+00
  3.258000E+00 -2.333201E+00 -2.159746E+00 -2.292812E+00 -2.076728E+00
  3.260000E+00 -2.344391E+00 -2.131914E+00 -2.315019E+00 -2.093431E+00
  3.262000E+00 -2.355582E+00 -2.143047E+00 -2.259503E+00 -2.082296E+00
  3.264000E+00 -2.355582E+00 -2.126348E+00 -2.265054E+00 -2.076728E+00
  3.266000E+00 -2.361177E+00 -2.126348E+00 -2.298364E+00 -2.098999E+00
  3.268000E+00 -2.377962E+00 -2.126348E+00 -2.309467E+00 -2.104566E+00
  3.270000E+00 -2.344391E+00 -2.120781E+00 -2.276158E+00 -2.082296E+00
  3.272000E+00 -2.372367E+00 -2.115215E+00 -2.287261E+00 -2.093431E+00
  3.274000E+00 -2.372367E+00 -2.126348E+00 -2.292812E+00 -2.098999E+00
  3.276000E+00 -2.361177E+00 -2.120781E+00 -2.281709E+00 -2.082296E+00
  3.278000E+00 -2.372367E+00 -2.126348E+00 -2.309467E+00 -2.082296E+00
  3.280000E+00 -2.372367E+00 -2.131914E+00 -2.320570E+00 -2.082296E+00
  3.282000E+00 -2.372367E+00 -2.137480E+00 -2.326122E+00 -2.082296E+00
  3.284000E+00 -2.366772E+00 -2.143047E+00 -2.298364E+00 -2.082296E+00
  3.286000E+00 -2.372367E+00 -2.143047E+00 -2.309467E+00 -2.076728E+00
  3.288000E+00 -2.333201E+00 -2.115215E+00 -2.337225E+00 -2.082296E+00
  3.290000E+00 -2.389153E+00 -2.137480E+00 -2.292812E+00 -2.060025E+00
  3.292000E+00 -2.372367E+00 -2.131914E+00 -2.303916E+00 -2.082296E+00
  3.294000E+00 -2.338796E+00 -2.126348E+00 -2.326122E+00 -2.082296E+00
  3.296000E+00 -2.383558E+00 -2.137480E+00 -2.298364E+00 -2.082296E+00
  3.298000E+00 -2.361177E+00 -2.143047E+00 -2.315019E+00 -2.082296E+00
  3.300000E+00 -2.344391E+00 -2.143047E+00 -2.348328E+00 -2.098999E+00
  3.302000E+00 -2.372367E+00 -2.137480E+00 -2.320570E+00 -2.087863E+00
  3.304000E+00 -2.338796E+00 -2.137480E+00 -2.309467E+00 -2.087863E+00
  3.306000E+00 -2.349986E+00 -2.131914E+00 -2.315019E+00 -2.093431E+00
  3.308000E+00 -2.316415E+00 -2.154179E+00 -2.320570E+00 -2.071160E+00
  3.310000E+00 -2.344391E+00 -2.154179E+00 -2.309467E+00 -2.087863E+00
  3.312000E+00 -2.327606E+00 -2.148613E+00 -2.309467E+00 -2.087863E+00
  3.314000E+00 -2.327606E+00 -2.154179E+00 -2.326122E+00 -2.087863E+00
  3.316000E+00 -2.333201E+00 -2.159746E+00 -2.292812E+00 -2.093431E+00
  3.318000E+00 -2.316415E+00 -2.159746E+00 -2.298364E+00 -2.093431E+00
  3.320000E+00 -2.344391E+00 -2.154179E+00 -2.281709E+00 -2.093431E+00
  3.322000E+00 -2.338796E+00 -2.143047E+00 -2.276158E+00 -2.093431E+00
  3.324000E+00 -2.310820E+00 -2.148613E+00 -2.276158E+00 -2.093431E+00
