 time[sec] Ip[MA] R[cm]   Z[cm]   Br[T]   Bz[T]
  150.000497  14.9946428  420.  60. -0.0304716509  1.77184285
  150.000497  14.9946428  820.  60.  0.034814834 -1.34262959
 =================================
