ktime
15
time[S],emoe[MW]emoq[MW]
  0.000000e+000    2.0000    0.0000
  1.600000e+000    2.0000    0.0000
  3.500000e+000    2.0000    0.0000
  4.277000e+000    2.0000    0.0000
  6.524000e+000    2.0000    0.0000
  9.016000e+000    2.0000    0.0000
  1.155000e+001    2.0000    0.0000
  1.225000e+001    4.0000    0.0000
  5.005000e+001    4.0000    0.0000
  5.012000e+001   53.0000    0.0000
  4.094000e+002  5.300000e+001  0.000000e+000
  4.110000e+002  3.000000e+001  0.000000e+000
  4.550000e+002  3.000000e+001  0.000000e+000
  4.560000e+002  0.000000e+000  0.000000e+000
  2.546500e+003  0.000000e+000  0.000000e+000

