 3001  333410.497
  0.0000E+00  0.0000E+00
  6.8506E-03  5.8303E-02
  2.7402E-02  5.8172E-02
  5.4805E-02  5.7823E-02
  8.2207E-02  5.7243E-02
  1.0961E-01  5.6423E-02
  1.3701E-01  5.5360E-02
  1.6441E-01  5.4054E-02
  1.9182E-01  5.2508E-02
  2.1922E-01  5.0732E-02
  2.4662E-01  4.8736E-02
  2.7402E-01  4.6538E-02
  3.0143E-01  4.4157E-02
  3.2883E-01  4.1619E-02
  3.5623E-01  3.8950E-02
  3.8363E-01  3.6184E-02
  4.1104E-01  3.3355E-02
  4.3844E-01  3.0500E-02
  4.6584E-01  2.7658E-02
  4.9324E-01  2.4865E-02
  5.2065E-01  2.2156E-02
  5.4805E-01  1.9564E-02
  5.7545E-01  1.7115E-02
  6.0285E-01  1.4830E-02
  6.2957E-01  1.2824E-02
  6.5495E-01  1.1076E-02
  6.7906E-01  9.5658E-03
  7.0197E-01  8.2676E-03
  7.2373E-01  7.1568E-03
  7.4441E-01  6.2093E-03
  7.6405E-01  5.4023E-03
  7.8270E-01  4.7154E-03
  8.0043E-01  4.1305E-03
  8.1727E-01  3.6315E-03
  8.3326E-01  3.2050E-03
  8.4846E-01  2.8392E-03
  8.6290E-01  2.5245E-03
  8.7661E-01  2.2525E-03
  8.8964E-01  2.0164E-03
  9.0202E-01  1.8103E-03
  9.1378E-01  1.6294E-03
  9.2495E-01  1.4696E-03
  9.3556E-01  1.2895E-03
  9.4564E-01  1.1332E-03
  9.5522E-01  9.9627E-04
  9.6432E-01  3.5084E-04
  9.7297E-01  8.6940E-05
  9.8118E-01  1.1042E-05
  9.8898E-01  2.6151E-07
  9.9639E-01  5.9231E-13
