 time [msec], PF_current [kA]
  2501.  16941.1039  18594.4196  15620.7155  16724.1832  15313.7659  6477.40195
  324.869846  82.9669326 -23.9909142 -1204.51545  11219.49
  
  2502.  16941.0458  18594.3513  15620.6992  16724.1227  15313.7123  6477.39969
  324.869482  82.9669862 -23.9914969 -1204.51439  11219.4806
  
  2503.  16940.9872  18594.284  15620.6815  16724.0634  15313.6575  6477.39801
  324.868928  82.9672677 -23.9922067 -1204.51347  11219.4713
  
  2504.  16940.9284  18594.2178  15620.662  16724.005  15313.6015  6477.3969
  324.868235  82.967858 -23.9930892 -1204.51274  11219.4621
  
  2505.  16940.8692  18594.1524  15620.641  16723.9476  15313.5443  6477.39634
  324.867384  82.9686862 -23.9941336 -1204.5122  11219.4532
  
  2506.  16940.8096  18594.0886  15620.6202  16723.891  15313.4859  6477.39638
  324.866277  82.9695671 -23.9956108 -1204.51183  11219.4443
  
  2507.  16940.7496  18594.0247  15620.5966  16723.8356  15313.4263  6477.39689
  324.864987  82.9708067 -23.9972354 -1204.5117  11219.4358
  
  2508.  16940.6891  18593.9611  15620.5715  16723.7812  15313.3656  6477.3979
  324.863409  82.9722726 -23.9988844 -1204.51167  11219.4273
  
  2509.  16940.6282  18593.8978  15620.5456  16723.7278  15313.3037  6477.39939
  324.861541  82.9738461 -24.000752 -1204.51182  11219.4192
  
  2510.  16940.5668  18593.8354  15620.5194  16723.6754  15313.2406  6477.40138
  324.859356  82.9754232 -24.0028725 -1204.51211  11219.4112
  
  2511.  16940.505  18593.7739  15620.4935  16723.6241  15313.1765  6477.40389
  324.856849  82.9769555 -24.0053274 -1204.51256  11219.4034
  
  2512.  16940.4428  18593.7132  15620.4674  16723.5738  15313.1112  6477.4069
  324.854033  82.9784857 -24.0080763 -1204.51316  11219.3959
  
  2513.  16940.3801  18593.6533  15620.4411  16723.5245  15313.0448  6477.41043
  324.850924  82.9800622 -24.0110952 -1204.51392  11219.3886
  
  2514.  16940.317  18593.5942  15620.4143  16723.4763  15312.9772  6477.41447
  324.84754  82.9817269 -24.0143568 -1204.51484  11219.3815
  
  2515.  16940.2534  18593.5359  15620.3868  16723.4291  15312.9085  6477.41903
  324.843901  82.9834917 -24.0178602 -1204.51592  11219.3746
  
  2516.  16940.2081  18593.7676  15620.2006  16723.245  15312.8226  6477.76886
  322.82875  82.2196144 -23.0897948 -1203.47064  11219.1037
  
  2517.  16940.1711  18594.0971  15620.0129  16722.9823  15312.7279  6477.93488
  322.173101  81.9730836 -22.8082664 -1203.14045  11218.9747
  
  2518.2  16940.1271  18594.5766  15619.7859  16722.6076  15312.6129  6478.0851
  321.782352  81.8267381 -22.664338 -1202.95439  11218.8583
  
  2519.64  16940.0768  18595.2218  15619.5129  16722.107  15312.4621
  6477.75071  324.7653  82.9628908 -24.1176683 -1204.53808  11219.1149
  
  2521.368  16940.0273  18596.0529  15619.1851  16721.4672  15312.2799
  6477.61513  326.568649  83.6498049 -25.0321409 -1205.5098  11219.2198
  
  2523.4416  16939.9772  18597.0924  15618.7911  16720.6876  15312.0631
  6477.93298  325.515414  83.2466914 -24.6204043 -1204.99356  11218.9791
  
  2525.92992  16939.9216  18598.3482  15618.3193  16719.7669  15311.797
  6478.32809  324.107724  82.7034751 -24.0548176 -1204.2989  11218.6837
  
  2528.91591  16939.8513  18599.8508  15617.7548  16718.6957  15311.4685
  6478.56206  323.90346  82.6113225 -24.0680608 -1204.24169  11218.5191
  
  2532.49909  16939.7573  18601.6451  15617.0802  16717.4531  15311.0682
  6478.6598  324.704517  82.8947723 -24.5706137 -1204.71992  11218.4691
  
  2536.79891  16939.6283  18603.7906  15616.2748  16716.0069  15310.5875
  6478.77716  325.466425  83.1576711 -25.0758704 -1205.19035  11218.4189
  
  2541.95869  16939.4474  18606.3689  15615.3136  16714.3143  15310.0126
  6478.97949  325.780307  83.2467522 -25.3963783 -1205.44404  11218.3261
  
  2548.15043  16939.192  18609.486  15614.1677  16712.3206  15309.3214
  6479.25481  325.779488  83.2164356 -25.6021257 -1205.55791  11218.2115
  
  2555.58051  16938.8324  18613.2831  15612.8  16709.9685  15308.4806
  6479.59057  325.629214  83.1325394 -25.7857301 -1205.62927  11218.1013
  
  2564.49662  16938.3319  18617.9114  15611.1667  16707.1812  15307.4391
  6479.95944  325.622133  83.1143288 -26.1041761 -1205.82573  11218.0398
  
  2575.19594  16937.6391  18623.5816  15609.2172  16703.8791  15306.1233
  6480.39467  325.717488  83.1572982 -26.5668261 -1206.14613  11218.0361
  
  2588.03514  16936.6947  18630.5116  15606.8911  16699.987  15304.4223
  6480.98935  325.563721  83.1417768 -27.0485953 -1206.43573  11218.068
  
  2603.44217  16935.4083  18638.9763  15604.1104  16695.4487  15302.174
  6481.8105  325.09749  83.0620106 -27.5768436 -1206.70226  11218.1564
  
  2621.93061  16933.6596  18649.278  15600.7814  16690.2343  15299.1411
  6482.9284  324.37103  82.9650954 -28.2558212 -1207.02972  11218.3512
  
  2641.93061  16931.5392  18660.4747  15597.1881  16684.9135  15295.4412
  6484.3211  323.213747  82.7904193 -28.9579221 -1207.29946  11218.6412
  
  2661.93061  16929.1907  18671.5962  15593.6027  16679.9755  15291.3012
  6485.88276  321.719276  82.5573551 -29.6393881 -1207.50105  11219.0177
  
  2681.93061  16926.6118  18682.501  15590.0239  16675.4898  15286.7027
  6487.59246  319.941627  82.2865896 -30.3184689 -1207.6604  11219.4924
  
  2701.93061  16923.8102  18693.0642  15586.4577  16671.5023  15281.6299
  6489.41299  318.066493  82.0546601 -31.0711829 -1207.87067  11220.091
  
  2721.93061  16920.7925  18703.1603  15582.913  16668.0481  15276.0695
  6491.33771  316.086761  81.866103 -31.8827205 -1208.12462  11220.8156
  
  2741.93061  16917.5611  18712.691  15579.3959  16665.1594  15270.0118
  6493.38798  313.841948  81.6649639 -32.6686877 -1208.33612  11221.6477
  
  2761.93061  16914.1107  18721.6437  15575.7082  16662.9157  15263.4392
  6495.56412  311.339037  81.4572271 -33.4273638 -1208.5076  11222.5865
  
  2781.93061  16910.4335  18730.0115  15571.6354  16661.4041  15256.3349
  6497.84892  308.690935  81.2883891 -34.2095965 -1208.69709  11223.6453
  
  2801.93061  16906.5324  18737.7311  15567.1645  16660.6507  15248.6926
  6500.25714  305.81324  81.1292197 -34.9730717 -1208.85967  11224.8124
  
  2821.93061  16902.4148  18744.7552  15562.2738  16660.6649  15240.5047
  6502.78704  302.755669  81.0031765 -35.738318 -1209.02046  11226.0892
  
  2841.93061  16898.0863  18751.0383  15556.9426  16661.4554  15231.7641
  6505.42175  299.657787  80.9681314 -36.5693544 -1209.25142  11227.4886
  
  2861.93061  16893.5529  18756.5507  15551.1539  16663.0245  15222.4651
  6508.18743  296.40137  80.9824685 -37.4099878 -1209.49032  11228.9911
  
  2881.93061  16888.8231  18761.2909  15544.8925  16665.3581  15212.6007
  6511.08976  293.030322  81.0651451 -38.2828035 -1209.76024  11230.5938
  
  2901.93061  16883.9023  18765.2623  15538.1495  16668.4409  15202.1647
  6514.12107  289.664278  81.2621888 -39.2489697 -1210.12411  11232.3036
  
  2921.93061  16878.7917  18768.4806  15530.9271  16672.2483  15191.1521
  6517.31334  286.175631  81.523066 -40.2551495 -1210.51648  11234.0972
  
  2941.93061  16873.4967  18770.9874  15523.2269  16676.7629  15179.5597
  6520.679  282.579623  81.8493409 -41.3174141 -1210.94666  11235.9682
  
  2961.93061  16868.0149  18772.8215  15515.0631  16681.9616  15167.3855
  6524.21429  278.97382  82.2723545 -42.4924832 -1211.46718  11237.9219
  
  2981.93061  16862.343  18774.0184  15506.4479  16687.8209  15154.6288
  6527.94223  275.277296  82.7559383 -43.7512812 -1212.03703  11239.9426
  
  3001.93061  16856.4765  18774.6075  15497.3897  16694.3163  15141.29
  6531.86524  271.530457  83.3120159 -45.1191025 -1212.67795  11242.0302
  
  3021.93061  16850.4107  18774.6161  15487.8926  16701.4207  15127.3703
  6535.98775  267.752062  83.9466844 -46.6079606 -1213.39965  11244.1827
  
  3041.93061  16844.1396  18774.0775  15477.9605  16709.1025  15112.8727
  6540.31298  263.965345  84.6691475 -48.2302643 -1214.21383  11246.3988
  
  3061.93061  16837.6548  18773.0338  15467.6021  16717.3261  15097.8015
  6544.84544  260.182194  85.4843644 -49.9929023 -1215.12628  11248.6763
  
  3081.93061  16830.9454  18771.5336  15456.8311  16726.0529  15082.1629
  6549.59375  256.385339  86.3856192 -51.8893709 -1216.12776  11251.0102
  
  3101.93061  16823.9993  18769.6274  15445.6633  16735.2428  15065.964
  6554.56532  252.56037  87.3670861 -53.9143752 -1217.21065  11253.3959
  
  3121.93061  16816.8012  18767.3594  15434.1168  16744.859  15049.2132
  6559.76396  248.702208  88.4264877 -56.0663978 -1218.37213  11255.8317
  
  3141.93061  16809.3365  18764.7724  15422.2079  16754.864  15031.9197
  6565.19757  244.776478  89.5511387 -58.3287035 -1219.59385  11258.3123
  
  3161.93061  16801.5891  18761.9028  15409.9527  16765.2228  15014.0929
  6570.85935  240.830215  90.760176 -60.7217996 -1220.89971  11260.8438
  
  3181.93061  16793.5406  18758.783  15397.3694  16775.9038  14995.7432
  6576.7527  236.834771  92.0440495 -63.2297827 -1222.27398  11263.4238
  
  3201.93061  16785.1644  18755.4582  15384.4965  16786.8619  14976.8809
  6582.87984  232.769392  93.3939549 -65.8430992 -1223.706  11266.0503
  
  3221.93061  16776.4442  18751.9472  15371.3367  16798.0797  14957.5167
  6589.23428  228.651182  94.8169839 -68.5682769 -1225.20482  11268.7281
  
  3241.93061  16767.3635  18748.2818  15357.9061  16809.5366  14937.6667
