  ktime 
 4
  time [S],  pf_7 [kA] 
  -1.e-3      59.7.
   0.e-3      59.7.
   10.e-3      59.7.
   100.e-3      59.7.
   3.e-3      -400.
  120.e-3     -400.









