ktime   !scr_data.dat
76
Time[s]   Ip   I_CSU3   I_CSU2   I_CS1   I_CSL2   I_CSL3   I_PF1   I_PF2   I_PF3   I_PF4   I_PF5   I_PF6   
2.2  0.94  8.03806  8.119349  7.826914  8.957427  5.108245  2.733821  0.07459587  -0.1065504  -0.1268034  -0.3472401  3.695873  
2.25  0.9666667  7.974061  8.038638  7.776496  8.87269  5.045349  2.716546  0.06536739  -0.1150506  -0.136406  -0.3550437  3.678319  
2.3  0.9933333  7.910144  7.95667  7.723517  8.786033  4.980432  2.696745  0.05701297  -0.1235833  -0.1460063  -0.3626795  3.658914  
2.35  1.02  7.846319  7.873525  7.668077  8.697515  4.91356  2.674481  0.04951361  -0.1321575  -0.1556032  -0.3701355  3.637709  
2.4  1.046667  7.782585  7.789261  7.610254  8.607182  4.844793  2.649812  0.04285495  -0.1407807  -0.1651961  -0.3774026  3.614745  
2.45  1.073333  7.718936  7.703917  7.550113  8.515072  4.774184  2.622791  0.03702576  -0.1494586  -0.1747847  -0.3844734  3.590058  
2.5  1.1  7.655361  7.617523  7.487706  8.421213  4.701777  2.593469  0.03201685  -0.1581959  -0.1843687  -0.3913428  3.563679  
2.55  1.125  7.591206  7.530742  7.423354  8.327409  4.628607  2.562802  0.02755762  -0.1668113  -0.1938986  -0.3979127  3.536522  
2.6  1.15  7.525765  7.444239  7.35735  8.235461  4.555681  2.531764  0.02335732  -0.1751137  -0.2033296  -0.4041026  3.509482  
2.65  1.175  7.459032  7.357971  7.289694  8.14522  4.482918  2.500336  0.0194097  -0.1831115  -0.2126702  -0.4099376  3.482484  
2.7  1.2  7.39101  7.271902  7.220402  8.056572  4.410264  2.468511  0.01570887  -0.1908094  -0.2219257  -0.4154364  3.455475  
2.75  1.225  7.321707  7.186005  7.149503  7.969432  4.337684  2.436283  0.01225018  -0.1982099  -0.2310991  -0.4206134  3.42842  
2.8  1.25  7.251137  7.100262  7.077033  7.883729  4.265153  2.403655  0.009030396  -0.2053137  -0.2401917  -0.42548  3.401291  
2.85  1.275  7.179314  7.014655  7.00303  7.799406  4.192655  2.370627  0.006047505  -0.2121203  -0.2492035  -0.4300445  3.37407  
2.9  1.3  7.106257  6.929171  6.927533  7.716419  4.120181  2.337205  0.003300396  -0.2186287  -0.2581337  -0.4343131  3.346744  
2.95  1.325  7.031982  6.843798  6.850574  7.634726  4.047724  2.303393  0.000788229  -0.2248377  -0.2669818  -0.4382905  3.319303  
3.0  1.35  6.956511  6.758522  6.772188  7.554291  3.975283  2.269198  -0.001489476  -0.2307462  -0.275747  -0.4419802  3.29174  
3.05  1.375  6.880035  6.67466  6.692694  7.477102  3.902786  2.234729  -0.003989456  -0.2362978  -0.2843467  -0.4455927  3.264195  
3.1  1.4  6.802749  6.593569  6.612488  7.4052  3.830142  2.200116  -0.007171121  -0.2414174  -0.2926803  -0.4493404  3.236816  
3.15  1.425  6.724663  6.515178  6.531672  7.338452  3.757348  2.165373  -0.01099251  -0.2460799  -0.3007243  -0.4532036  3.209601  
3.2  1.45  6.645797  6.439417  6.450263  7.276737  3.684408  2.130513  -0.01542657  -0.2502677  -0.3084629  -0.4571684  3.182545  
3.25  1.475  6.566171  6.366204  6.368211  7.219932  3.611331  2.095543  -0.02045888  -0.2539735  -0.3158916  -0.4612288  3.15564  
3.3  1.5  6.485801  6.295456  6.285451  7.167915  3.538125  2.060467  -0.02608362  -0.2571971  -0.3230141  -0.4653853  3.128879  
3.35  1.525  6.404704  6.227087  6.201911  7.120564  3.4648  2.025284  -0.03230071  -0.2599428  -0.3298388  -0.4696427  3.10225  
3.4  1.55  6.322895  6.16101  6.117525  7.077762  3.391364  1.989992  -0.03911396  -0.262218  -0.3363769  -0.4740087  3.075744  
3.45  1.575  6.240386  6.097143  6.032234  7.039393  3.317826  1.954588  -0.04652968  -0.2640318  -0.3426414  -0.4784929  3.049348  
3.5  1.6  6.15719  6.035405  5.945987  7.005346  3.244193  1.919066  -0.05455591  -0.2653945  -0.3486461  -0.483106  3.023049  
7.5  2.5  5.1585  4.8968  2.45  3.8637  2.0227  4.3629  -1.372  -0.55463  -0.3417  -1.5609  4.8794  
12.0  3.0  0.10762  0.29995  -0.4872  3.2373  -1.2409  5.9792  -1.4467  -0.80486  -0.71757  -2.6596  7.0  
20.0  5.1  -4.4528  0.10251  -7.1222  -1.1209  1.0947  3.658  -1.3739  -1.4964  -1.3543  -2.7143  6.0087  
45.0  5.1  -6.1003  -3.2225  -11.649  -3.8521  -0.056799  1.466  -0.90334  -1.9156  -2.0908  -0.89082  1.7758  
450.0  5.1  -6.1003  -3.2225  -11.649  -3.8521  -0.056799  1.466  -0.90334  -1.9156  -2.0908  -0.89082  1.7758  
tt_rampup   !tt_kavin2.dat
5600   
dt_end_sim   dtpl_term_l   cIp_end   
50           15            -0.4   
Ics1_eob(kA)   rms_noise(m/s)   
-16.8          0.2   
