Time(s),Ip,I(CSU3),I(CSU2),I(CS1),I(CSL2)
   0.0000000e+00   0.0000000e+00   2.3168280e+01   2.2244208e+01   2.2140610e+01   2.2296284e+01   2.3254704e+01   1.0062334e+01   1.2555648e+00   2.2553388e-02   5.3008800e-01  -1.7449148e-01   9.6418872e+00
   1.0000000e-02   3.7714286e-03   2.3155488e+01   2.2232181e+01   2.2115201e+01   2.2283864e+01   2.3231743e+01   1.0026810e+01   1.2552931e+00   2.2166322e-02   5.2949564e-01  -1.7370035e-01   9.6221381e+00
   2.0000000e-02   7.5428571e-03   2.3148018e+01   2.2224512e+01   2.2094261e+01   2.2278110e+01   2.3205180e+01   9.9887890e+00   1.2516619e+00   2.0887274e-02   5.2779015e-01  -1.7405401e-01   9.6016827e+00
   3.0000000e-02   1.1314286e-02   2.3143294e+01   2.2219052e+01   2.2075643e+01   2.2275781e+01   2.3176801e+01   9.9497018e+00   1.2463928e+00   1.9278149e-02   5.2562935e-01  -1.7492833e-01   9.5810284e+00
   4.0000000e-02   1.5085714e-02   2.3139993e+01   2.2214723e+01   2.2058264e+01   2.2275227e+01   2.3147515e+01   9.9102634e+00   1.2403547e+00   1.7621718e-02   5.2334625e-01  -1.7601026e-01   9.5604181e+00
   5.0000000e-02   1.8857143e-02   2.3137429e+01   2.2210981e+01   2.2041577e+01   2.2275611e+01   2.3117780e+01   9.8708266e+00   1.2339827e+00   1.6058879e-02   5.2110826e-01  -1.7714452e-01   9.5399631e+00
   6.0000000e-02   2.2628571e-02   2.3135248e+01   2.2207551e+01   2.2025304e+01   2.2276503e+01   2.3087824e+01   9.8315609e+00   1.2274924e+00   1.4658704e-02   5.1899858e-01  -1.7825548e-01   9.5197104e+00
   7.0000000e-02   2.6400000e-02   2.3133264e+01   2.2204296e+01   2.2009300e+01   2.2277686e+01   2.3057760e+01   9.7925441e+00   1.2209882e+00   1.3454104e-02   5.1705775e-01  -1.7930751e-01   9.4996754e+00
   8.0000000e-02   3.0171429e-02   2.3131379e+01   2.2201147e+01   2.1993490e+01   2.2279047e+01   2.3027641e+01   9.7538083e+00   1.2145188e+00   1.2459929e-02   5.1530483e-01  -1.8028491e-01   9.4798592e+00
   9.0000000e-02   3.3942857e-02   2.3129536e+01   2.2198069e+01   2.1977835e+01   2.2280527e+01   2.2997488e+01   9.7153632e+00   1.2081050e+00   1.1682112e-02   5.1374816e-01  -1.8118179e-01   9.4602563e+00
   1.0000000e-01   3.7714286e-02   2.3127706e+01   2.2195045e+01   2.1962312e+01   2.2282097e+01   2.2967309e+01   9.6772076e+00   1.2017541e+00   1.1122268e-02   5.1239081e-01  -1.8199700e-01   9.4408584e+00
   1.1000000e-01   4.1485714e-02   2.3125868e+01   2.2192065e+01   2.1946907e+01   2.2283739e+01   2.2937105e+01   9.6393357e+00   1.1954667e+00   1.0779973e-02   5.1123326e-01  -1.8273160e-01   9.4216564e+00
   1.2000000e-01   4.5257143e-02   2.3124011e+01   2.2189123e+01   2.1931614e+01   2.2285442e+01   2.2906873e+01   9.6017395e+00   1.1892404e+00   1.0653894e-02   5.1027484e-01  -1.8338765e-01   9.4026416e+00
   1.3000000e-01   4.9028571e-02   2.3122123e+01   2.2186217e+01   2.1916426e+01   2.2287201e+01   2.2876608e+01   9.5644105e+00   1.1830715e+00   1.0742324e-02   5.0951433e-01  -1.8396759e-01   9.3838053e+00
   1.4000000e-01   5.2800000e-02   2.3120198e+01   2.2183344e+01   2.1901338e+01   2.2289010e+01   2.2846304e+01   9.5273402e+00   1.1769556e+00   1.1043441e-02   5.0895033e-01  -1.8447397e-01   9.3651396e+00
   1.5000000e-01   5.6571429e-02   2.3118230e+01   2.2180501e+01   2.1886348e+01   2.2290866e+01   2.2815958e+01   9.4905203e+00   1.1708883e+00   1.1555416e-02   5.0858138e-01  -1.8490930e-01   9.3466370e+00
   1.6000000e-01   6.0342857e-02   2.3116211e+01   2.2177686e+01   2.1871451e+01   2.2292765e+01   2.2785564e+01   9.4539431e+00   1.1648654e+00   1.2276460e-02   5.0840601e-01  -1.8527605e-01   9.3282908e+00
   1.7000000e-01   6.4114286e-02   2.3114137e+01   2.2174896e+01   2.1856645e+01   2.2294703e+01   2.2755116e+01   9.4176012e+00   1.1588827e+00   1.3204841e-02   5.0842282e-01  -1.8557659e-01   9.3100944e+00
   1.8000000e-01   6.7885714e-02   2.3112003e+01   2.2172128e+01   2.1841928e+01   2.2296677e+01   2.2724611e+01   9.3814880e+00   1.1529361e+00   1.4338881e-02   5.0863044e-01  -1.8581317e-01   9.2920419e+00
   1.9000000e-01   7.1657143e-02   2.3109805e+01   2.2169380e+01   2.1827296e+01   2.2298685e+01   2.2694043e+01   9.3455968e+00   1.1470217e+00   1.5676958e-02   5.0902754e-01  -1.8598799e-01   9.2741278e+00
