        4.135       -2.504
        4.135       -1.491
        4.135       -0.476
        4.135         0.54
        4.135        1.557
        4.135        2.572
        4.135        3.585
        4.325        4.337
        4.935         4.72
        5.753        4.534
        6.552        3.926
        7.402         3.18
        7.906        2.465
         8.27        1.685
        8.394        0.635
        8.306        -0.42
          7.9       -1.337
        7.282       -2.254
        6.266       -3.043
        6.465       -3.213
        6.311       -3.179
        6.181       -3.177
        6.052       -3.199
         5.93       -3.243
        5.814       -3.312
        5.712       -3.401
        5.629       -3.508
        5.568       -3.629
         5.53       -3.758
        5.518       -3.893
        5.518       -4.106
        5.518       -4.356
        5.518       -4.606
        5.253       -3.982
        5.207       -3.903
        5.149       -3.835
        5.078       -3.779
        4.997       -3.738
        4.911       -3.714
        4.821       -3.706
        4.731       -3.716
        4.645       -3.743
        4.167       -3.909
        4.245       -3.747
        4.311       -3.611
        4.368       -3.495
        4.406       -3.402
        4.436        -3.34
        4.467       -3.277
        4.515       -2.995
        4.506       -2.936
         4.44       -2.778
        4.325       -2.649
        4.174       -2.565
        4.003       -2.536
        3.958       -2.536
