 tt[s]	gap1[m]	gap2[m]	gap3[m]	gap4[m]	gap5[m]	gap6[m]                 
   1.2040000571869314       0.82804762916651486       0.50302456153024977        1.0470958944631679        1.8672979453991039        2.9687699995257519       0.17953899697369577     
   1.2060000572819263       0.83757763072906322       0.48158612756109143        1.0440543126895900        1.8642195696722479        2.9637500798865783       0.17789942685062574     
   1.2080000573769212       0.84558227924496898       0.46649998957291222        1.0114711241838779        1.8283407442469721        2.9362318183714318       0.17278778007360640     
   1.2100000574719161       0.85402183836797674       0.45054905639243059       0.99280073810157188        1.8061091929605761        2.9185793471232708       0.16890167339689433     
   1.2120000575669110       0.86203163090006418       0.43506458431195250       0.96032425777370201        1.7769857166600289        2.8982726164920991       0.16517673356543186     
   1.2140000576619059       0.87031131979665455       0.41892892892387124       0.93938526446097548        1.7570366017660715        2.8819385566008799       0.16196254771251675     
   1.2160000577569008       0.87867222925737321       0.40272681177979097       0.92251096650074960        1.7383600268541071        2.8662624536243277       0.15895991755074282     
   1.2180000578518957       0.88708147969273121       0.38649280954532356       0.90901372045647011        1.7206631496156974        2.8510380109428191       0.15607142035867244     
   1.2200000579468906       0.89577174918034186       0.37161735242092903       0.89321525950161273        1.7037650947958647        2.8379139710946144       0.15375099694331257     
   1.2220000580418855       0.90323437255670014       0.35584784847378531       0.87417938405466533        1.6879483578588113        2.8257124703032104       0.15169484476385417     
   1.2240000581368804       0.91139397453774107       0.34044865445926453       0.85846515097111975        1.6754302451246919        2.8144950911995905       0.15018078633790993     
   1.2260000582318753       0.91965425384618726       0.32486633978642648       0.84459119068237265        1.6604228822480245        2.8058517169556421       0.14802300088452344     
   1.2280000583268702       0.92796283269164670       0.30926489264319357       0.83585096301775430        1.6497210181880930        2.7962815146100759       0.14633469323117246     
   1.2300000584218651       0.93640501096805673       0.29351023543647398       0.82936282594397226        1.6423844447679194        2.7884188733376027       0.14501820530659790     
   1.2320000585168600       0.94483323982421619       0.27788466787209509       0.82438178577794552        1.6348394354140847        2.7812292877004716       0.14384923382857331     
   1.2340000586118549       0.95325902638640214       0.26231003110022533       0.82102493432197032        1.6300468654465432        2.7758373536485466       0.14289140522138610     
   1.2360000587068498       0.96247962747047811       0.24677282577906173       0.81821138954246486        1.6258101337416138        2.7707585710708846       0.14208091548464910     
   1.2380000588018447       0.96986465644880027       0.23140298136382137       0.81626825883415088        1.6225844834615857        2.7664990441064186       0.14140995631445552     
   1.2400000588968396       0.97819623266347711       0.21621211743254209       0.81492955533658107        1.6201803833039601        2.7629469502141353       0.14083743827478845     
   1.2420000589918345       0.98650407901570747       0.20127192028345431       0.81399625390493036        1.6183502225593216        2.7598842385254101       0.14029219948546476     
   1.2440000590868294       0.99475306921756279       0.18710002913903592       0.81348456277475789        1.6172122742608022        2.7574616769028002       0.13983669762190915     
   1.2460000591818243        1.0029091540539108       0.17207564523295768       0.81346637345546058        1.6168131053521502        2.7557230188896171       0.13950608324653946     
   1.2480000592768192        1.0110112862960212       0.15779591243708660       0.81354554705424820        1.6165284148211703        2.7541397687495555       0.13929426097343919     
   1.2500000593718141        1.0190436944875447       0.14372154089734299       0.81397598494656209        1.6167583039484645        2.7530107965922048       0.13917361724296148     
   1.2520000594668090        1.0269387783625226       0.12989348369714682       0.81460613164684426        1.6172323061574148        2.7521111359995944       0.13908936284453524     
   1.2540000595618039        1.0346329477271381       0.11626746397646986       0.81541867901994391        1.6180602045471228        2.7516037250396650       0.13907573689900396     
   1.2560000596567988        1.0418980424698614       0.10287695810810153       0.81632388394494482        1.6190869563782495        2.7513127833920672       0.13909383861182845     
   1.2580000597517937        1.0491791350162039        8.9337651131861359E-002  0.81764709175985240        1.6207230582965730        2.7515750944928508       0.13919783752343023     
   1.2600000598467886        1.0566585299212887        7.6823074017152423E-002  0.81875360595664659        1.6221389972912632        2.7517502180704239       0.13939461612287740     
   1.2620000599417835        1.0642110213601763        6.4110948480693902E-002  0.81988328836101210        1.6236119956534596        2.7520309355900330       0.13961297407794954     
   1.2640000600367785        1.0716822571459077        5.1606420529467824E-002  0.82109162649269851        1.6251817767342580        2.7524238344702288       0.13985395299297179     
   1.2660000601317734        1.0790619615249506        3.9322243459826829E-002  0.82229952912671755        1.6267552505964866        2.7528797366219737       0.14012228812839356     
   1.2680000602267683        1.0863536194543431        2.7249280504755849E-002  0.82354571512615016        1.6283923001585157        2.7534688203685733       0.14042956120808958     
   1.2700000603217632        1.0935394798097970        1.5335950888413719E-002  0.82457899115285882        1.6297623090218716        2.7539059008380993       0.14070069436297075     
   1.2720000604167581        1.1004970558391813       -3.4019050125287300E-003  0.82593256729856335        1.6315432681079152        2.7546583930488908       0.14100714495394320     
   1.2740000605117530        1.1071192686465143        7.8666921124259902E-003  0.82729127611180575        1.6333382865312642        2.7554573307524670       0.14131630535809309     
   1.2760000606067479        1.1138367152783637        1.9191832899686533E-002  0.82867668496184665        1.6351702155966039        2.7563157151897757       0.14165439353478967     
   1.2780000607017428        1.1202219958136470        3.0320974231507765E-002  0.83034119062176104        1.6373599191479413        2.7574392019824234       0.14202778953001155     
   1.2800000607967377        1.1265564567079254        4.1271973787058998E-002  0.83164118472344128        1.6390280252151719        2.7582790777939632       0.14238681574326645     
   1.2820000608917326        1.1330049932926438        5.2019624684760027E-002  0.83279928531362479        1.6422488294320965        2.7591073785400955       0.14273946930742715     
   1.2840000609867275        1.1396010486558164        6.2588651833075118E-002  0.83388471186178348        1.6423844446079794        2.7599122216905752       0.14310791992384866     
   1.2860000610817224        1.1461932072742560        7.2978937904560504E-002  0.83491907723655445        1.6423844447679194        2.7607554471634725       0.14350679091729215     
   1.2880000611767173        1.1527156116592665        8.3218045466909391E-002  0.83593932894310841        1.6448061426251854        2.7616573586445123       0.14391855333745959     
   1.2900000612717122        1.1591626105731421        9.2871220942556051E-002  0.83694414787051685        1.6462105628467365        2.7625887785563474       0.14434006937344068     
   1.2920000613667071        1.1654566384456722       0.10322535847499999       0.83835228626780478        1.6480200729669665        2.7638299101336323       0.14479194648309252     
   1.2940000614617020        1.1715400820789050       0.11301414101878156       0.83878402194146473        1.6487821746395070        2.7643712542388523       0.14519790660282153     
   1.2960000615566969        1.1775395609459656       0.12263668132230807       0.83959669155240080        1.6499259571653693        2.7652032027808384       0.14562107263099960     
   1.2980000616516918        1.1835137679623897       0.13211232527018038       0.84031930367559282        1.6509773520205748        2.7659799622097245       0.14603406287483278     
   1.3000000617466867        1.1891080802851954       0.14144333209194590       0.84095830401839722        1.6519313687789361        2.7666875892685718       0.14644039445663690     
   1.3020000618416816        1.1946569739055817       0.15061752076399731       0.84122436313740234        1.6524777534890327        2.7671119006426039       0.14681304719794272     
   1.3040000619366765        1.2001010091393691       0.15961720806456861       0.84174457554405435        1.6533933819730307        2.7678629776857946       0.14723454207491943     
   1.3060000620316714        1.2054723808002656       0.16846953332406905       0.84185213905492651        1.6538688754365476        2.7683270095338646       0.14763350811056106     
   1.3080000621266663        1.2109202625877409       0.17718370227589464       0.84183233432436821        1.6542009147229648        2.7687051424595022       0.14802856896586092     
   1.3100000622216612        1.2164929308712484       0.18556113006426853       0.84170066720641423        1.6544043766573102        2.7690027958819923       0.14842245092911896     
   1.3120000623166561        1.2221657131671320       0.19424316208706760       0.84149635392475897        1.6545142183648436        2.7692415405282280       0.14880922508226951     
   1.3140000624116510        1.2277960905427294       0.20259299699264161       0.84121785220746126        1.6545336511041371        2.7694216182055236       0.14919556358405145     
   1.3160000625066459        1.2333593026742375       0.21082240872187549       0.84085353667105101        1.6544472474805376        2.7695287465989495       0.14957248429332851     
   1.3180000626016408        1.2388079834393255       0.21893594613854872       0.84038955333735810        1.6542289179196097        2.7695342441560773       0.14993795931826334     
   1.3200000626966357        1.2439983548045592       0.22693305350891632       0.83984254575792650        1.6539039873015746        2.7694675240911661       0.15029536452162062     
   1.3220000627916306        1.2491324432478241       0.23482570199975092       0.83922155391437114        1.6534831252951594        2.7693284937645135       0.15064315219481295     
   1.3240000628866255        1.2542117162192035       0.24262271998173809       0.83851155260672905        1.6529249237004642        2.7690846897143051       0.15097441285085611     
   1.3260000629816204        1.2592393906919788       0.25032934198906259       0.83774817463805096        1.6522718572295003        2.7687639390427976       0.15128922186283636     
   1.3280000630766153        1.2641544074554456       0.25793736162223030       0.83691294020287832        1.6515166108884776        2.7683679416556699       0.15159735573575614     
   1.3300000631716102        1.2689076231473266       0.26545769982415990       0.83601542015093899        1.6506684343520488        2.7678937053105908       0.15189592224193252     
   1.3320000632666051        1.2735973332564436       0.27289088881384488       0.83506181277013791        1.6497370610217599        2.7673420100741901       0.15218280818716362     
   1.3340000633616000        1.2782176154749540       0.28022945188688220       0.83405017890524302        1.6487538979488188        2.7667516370780660       0.15246786267277093     
   1.3360000634565949        1.2827752035305322       0.28748576275382987       0.83297682147216234        1.6476842822530668        2.7660873153338454       0.15274415605933267     
   1.3380000635515898        1.2873077686349104       0.29465003724482608       0.83183891627092887        1.6465568031682032        2.7653878692131406       0.15301905350906436     
   1.3400000636465847        1.2919260963943089       0.30172621104333086       0.83059529227259488        1.6453058240753458        2.7646252736802599       0.15328892926451249     
   1.3420000637415797        1.2966452526816739       0.30872495357050961       0.82928592444159188        1.6439751035572929        2.7637956999481479       0.15355028744146362     
   1.3440000638365746        1.3014584899686610       0.31564145130696364       0.82795359970463100        1.6423844447679194        2.7629735604696370       0.15381112256530180     
   1.3460000639315695        1.3062567806010446       0.32248053112601510       0.82693759647550802        1.6423844447679194        2.7624017081440342       0.15409362118648137     
   1.3480000640265644        1.3110074738406210       0.32924929569442524       0.82558146340275540        1.6402022130107279        2.7615684138739711       0.15435360370073647     
   1.3500000641215593        1.3156062653805720       0.33591389785211156       0.82470349295000600        1.6393017575544990        2.7610898327565967       0.15464579828859867     
   1.3520000642165542        1.3200108547611216       0.34253643954317514       0.82330109324199452        1.6377575355721845        2.7601465523398989       0.15488825781853108     
   1.3540000643115491        1.3243941008447575       0.34911591346148024       0.82134194082468659        1.6354716781881760        2.7586661227699283       0.15507251278256445     
   1.3560000644065440        1.3287146906674439       0.35559589373589451       0.81987406218363579        1.6337238625493502        2.7575376995748151       0.15528785037700465     
   1.3580000645015389        1.3329916450924062       0.36200310164426980       0.81835771368026566        1.6319206622538869        2.7563511200085067       0.15548982231427633     
